Uid,Pid,Time
131,198,2012-04-03 18:46
131,593,2012-04-03 18:46
263,1135,2012-04-03 18:49
740,141,2012-04-03 18:50
740,2554,2012-04-03 18:50
309,2696,2012-04-03 18:51
229,17,2012-04-03 18:52
597,136,2012-04-03 18:54
121,1711,2012-04-03 18:54
199,1185,2012-04-03 18:54
199,58,2012-04-03 18:54
555,101,2012-04-03 18:55
597,1873,2012-04-03 19:00
90,2138,2012-04-03 19:02
46,658,2012-04-03 19:04
694,688,2012-04-03 19:04
797,2253,2012-04-03 19:05
660,1105,2012-04-03 19:06
121,784,2012-04-03 19:06
740,221,2012-04-03 19:06
767,537,2012-04-03 19:07
263,2145,2012-04-03 19:08
731,517,2012-04-03 19:10
511,2543,2012-04-03 19:11
21,2101,2012-04-03 19:13
729,2340,2012-04-03 19:15
520,1332,2012-04-03 19:15
112,2471,2012-04-03 19:15
112,520,2012-04-03 19:16
626,1459,2012-04-03 19:16
522,2701,2012-04-03 19:17
614,1247,2012-04-03 19:21
121,239,2012-04-03 19:22
46,2662,2012-04-03 19:24
184,775,2012-04-03 19:27
63,2086,2012-04-03 19:27
597,2531,2012-04-03 19:27
411,1122,2012-04-03 19:27
107,2485,2012-04-03 19:28
643,605,2012-04-03 19:28
109,1964,2012-04-03 19:29
69,2064,2012-04-03 19:30
75,347,2012-04-03 19:30
620,1981,2012-04-03 19:32
522,1590,2012-04-03 19:33
627,472,2012-04-03 19:37
776,701,2012-04-03 19:42
335,2685,2012-04-03 19:42
61,2140,2012-04-03 19:44
75,207,2012-04-03 19:45
335,2396,2012-04-03 19:46
137,2145,2012-04-03 19:48
137,2642,2012-04-03 19:48
749,60,2012-04-03 19:48
75,1291,2012-04-03 19:50
229,841,2012-04-03 19:50
75,90,2012-04-03 19:51
104,1640,2012-04-03 19:51
204,504,2012-04-03 19:56
305,2650,2012-04-03 20:03
98,1168,2012-04-03 20:03
418,2784,2012-04-03 20:03
98,2536,2012-04-03 20:04
89,1641,2012-04-03 20:04
75,1848,2012-04-03 20:07
422,2454,2012-04-03 20:09
620,1275,2012-04-03 20:09
559,1561,2012-04-03 20:09
151,1339,2012-04-03 20:11
724,771,2012-04-03 20:13
611,2019,2012-04-03 20:13
151,1430,2012-04-03 20:15
315,17,2012-04-03 20:18
69,631,2012-04-03 20:19
204,340,2012-04-03 20:19
204,2151,2012-04-03 20:19
204,227,2012-04-03 20:21
335,2109,2012-04-03 20:23
770,2743,2012-04-03 20:24
761,2553,2012-04-03 20:26
563,154,2012-04-03 20:29
309,2080,2012-04-03 20:32
58,658,2012-04-03 20:33
137,2257,2012-04-03 20:33
641,1503,2012-04-03 20:34
713,2106,2012-04-03 20:34
46,2776,2012-04-03 20:35
144,2695,2012-04-03 20:36
247,695,2012-04-03 20:37
119,240,2012-04-03 20:38
90,1338,2012-04-03 20:39
559,1480,2012-04-03 20:39
623,652,2012-04-03 20:40
140,804,2012-04-03 20:42
247,1343,2012-04-03 20:42
218,2353,2012-04-03 20:44
563,2657,2012-04-03 20:44
90,714,2012-04-03 20:45
307,2293,2012-04-03 20:46
90,2459,2012-04-03 20:47
21,1293,2012-04-03 20:49
98,936,2012-04-03 20:52
632,2375,2012-04-03 20:53
692,279,2012-04-03 20:56
563,1232,2012-04-03 20:56
503,1248,2012-04-03 21:00
104,200,2012-04-03 21:01
593,598,2012-04-03 21:01
714,2057,2012-04-03 21:04
563,2460,2012-04-03 21:09
464,2204,2012-04-03 21:10
559,704,2012-04-03 21:11
329,2634,2012-04-03 21:12
713,149,2012-04-03 21:13
21,892,2012-04-03 21:13
740,549,2012-04-03 21:17
740,1345,2012-04-03 21:18
740,894,2012-04-03 21:18
740,2545,2012-04-03 21:19
563,750,2012-04-03 21:20
76,183,2012-04-03 21:21
405,916,2012-04-03 21:25
574,76,2012-04-03 21:26
151,927,2012-04-03 21:28
731,62,2012-04-03 21:30
98,2614,2012-04-03 21:31
318,2244,2012-04-03 21:32
563,2686,2012-04-03 21:42
137,670,2012-04-03 21:44
76,1274,2012-04-03 21:47
422,1337,2012-04-03 21:47
563,1456,2012-04-03 21:48
678,1457,2012-04-03 21:49
563,454,2012-04-03 21:51
669,1540,2012-04-03 21:56
439,259,2012-04-03 21:58
442,1487,2012-04-03 22:00
104,1072,2012-04-03 22:00
404,692,2012-04-03 22:01
357,1182,2012-04-03 22:02
137,2642,2012-04-03 22:12
561,533,2012-04-03 22:13
137,2145,2012-04-03 22:13
21,1758,2012-04-03 22:14
783,944,2012-04-03 22:17
299,1873,2012-04-03 22:18
783,1470,2012-04-03 22:20
298,2405,2012-04-03 22:21
701,1473,2012-04-03 22:23
299,1579,2012-04-03 22:24
75,1871,2012-04-03 22:26
490,2733,2012-04-03 22:27
31,1008,2012-04-03 22:31
299,2145,2012-04-03 22:31
31,401,2012-04-03 22:32
31,2214,2012-04-03 22:32
488,594,2012-04-03 22:44
620,1981,2012-04-03 22:49
315,228,2012-04-03 22:51
251,2512,2012-04-03 22:56
730,397,2012-04-03 23:03
104,898,2012-04-03 23:07
730,397,2012-04-03 23:13
730,1750,2012-04-03 23:15
317,963,2012-04-03 23:18
606,2348,2012-04-03 23:20
606,2781,2012-04-03 23:21
709,1050,2012-04-03 23:23
589,1354,2012-04-03 23:28
49,2573,2012-04-03 23:33
49,569,2012-04-03 23:36
614,2143,2012-04-03 23:40
614,2343,2012-04-03 23:40
69,540,2012-04-03 23:46
49,2658,2012-04-03 23:46
49,14,2012-04-03 23:47
104,1543,2012-04-03 23:48
129,1592,2012-04-03 23:50
129,2234,2012-04-03 23:50
137,2624,2012-04-03 23:51
490,450,2012-04-04 00:05
538,1025,2012-04-04 00:06
709,961,2012-04-04 00:08
357,2765,2012-04-04 00:08
312,766,2012-04-04 00:13
312,2254,2012-04-04 00:14
312,2311,2012-04-04 00:15
104,728,2012-04-04 00:18
439,179,2012-04-04 00:21
370,893,2012-04-04 00:25
312,794,2012-04-04 00:26
312,387,2012-04-04 00:27
766,2383,2012-04-04 00:29
718,1408,2012-04-04 00:30
738,283,2012-04-04 00:30
766,1924,2012-04-04 00:33
766,1150,2012-04-04 00:33
312,46,2012-04-04 00:34
167,2094,2012-04-04 00:34
766,2288,2012-04-04 00:35
434,2765,2012-04-04 00:38
61,2057,2012-04-04 00:40
597,1873,2012-04-04 00:48
597,136,2012-04-04 00:50
204,1829,2012-04-04 00:53
204,2151,2012-04-04 00:53
84,2575,2012-04-04 01:03
269,1757,2012-04-04 01:04
682,1062,2012-04-04 01:07
151,1902,2012-04-04 01:08
204,505,2012-04-04 01:08
151,1999,2012-04-04 01:10
702,1704,2012-04-04 01:12
317,2051,2012-04-04 01:12
770,2525,2012-04-04 01:44
107,1414,2012-04-04 01:47
61,1362,2012-04-04 01:51
61,1575,2012-04-04 02:06
61,1664,2012-04-04 02:09
749,842,2012-04-04 02:12
61,1203,2012-04-04 02:13
61,653,2012-04-04 02:19
694,2519,2012-04-04 02:25
729,2522,2012-04-04 02:30
151,2018,2012-04-04 02:36
61,566,2012-04-04 02:36
151,2729,2012-04-04 02:36
23,2163,2012-04-04 02:44
714,795,2012-04-04 02:55
496,977,2012-04-04 02:56
151,68,2012-04-04 03:00
346,1983,2012-04-04 03:08
242,1159,2012-04-04 03:09
298,1669,2012-04-04 03:12
157,1869,2012-04-04 03:13
157,2355,2012-04-04 03:13
157,1994,2012-04-04 03:16
496,2530,2012-04-04 03:20
538,2016,2012-04-04 03:21
538,96,2012-04-04 03:21
623,1500,2012-04-04 03:21
538,1361,2012-04-04 03:22
574,76,2012-04-04 03:25
157,1680,2012-04-04 03:26
157,1358,2012-04-04 03:26
490,525,2012-04-04 03:48
724,1236,2012-04-04 04:03
559,2474,2012-04-04 04:14
559,892,2012-04-04 04:22
375,1727,2012-04-04 04:28
375,1210,2012-04-04 04:28
206,1850,2012-04-04 05:24
650,1095,2012-04-04 05:42
206,658,2012-04-04 05:45
47,1064,2012-04-04 05:54
665,2720,2012-04-04 06:04
665,2324,2012-04-04 06:04
75,1871,2012-04-04 06:14
98,2394,2012-04-04 06:14
98,1273,2012-04-04 06:14
98,985,2012-04-04 06:15
98,2583,2012-04-04 06:16
448,1670,2012-04-04 06:16
708,173,2012-04-04 06:28
748,873,2012-04-04 06:30
625,946,2012-04-04 06:31
715,953,2012-04-04 06:36
65,1333,2012-04-04 06:36
715,1065,2012-04-04 06:36
748,667,2012-04-04 06:38
496,1242,2012-04-04 06:39
162,496,2012-04-04 06:41
320,168,2012-04-04 06:43
320,1404,2012-04-04 06:44
626,1178,2012-04-04 06:48
731,620,2012-04-04 06:49
748,1384,2012-04-04 06:51
391,2191,2012-04-04 06:52
645,177,2012-04-04 06:53
515,2541,2012-04-04 06:54
785,2039,2012-04-04 06:56
496,1051,2012-04-04 06:57
104,2289,2012-04-04 06:58
708,1484,2012-04-04 06:58
555,101,2012-04-04 07:01
391,601,2012-04-04 07:03
206,1769,2012-04-04 07:04
748,439,2012-04-04 07:07
162,2731,2012-04-04 07:07
112,520,2012-04-04 07:11
112,2471,2012-04-04 07:11
439,956,2012-04-04 07:15
634,1506,2012-04-04 07:15
412,1756,2012-04-04 07:16
746,2250,2012-04-04 07:17
606,2041,2012-04-04 07:21
125,619,2012-04-04 07:24
800,942,2012-04-04 07:25
63,1586,2012-04-04 07:26
122,2755,2012-04-04 07:28
306,1293,2012-04-04 07:32
45,655,2012-04-04 07:32
645,1264,2012-04-04 07:35
556,1393,2012-04-04 07:37
556,1296,2012-04-04 07:37
55,463,2012-04-04 07:37
55,406,2012-04-04 07:38
121,784,2012-04-04 07:41
767,2603,2012-04-04 07:41
751,2600,2012-04-04 07:43
805,861,2012-04-04 07:43
736,1950,2012-04-04 07:43
751,1512,2012-04-04 07:48
805,1015,2012-04-04 07:49
785,1703,2012-04-04 07:50
558,213,2012-04-04 07:50
121,1711,2012-04-04 07:50
714,398,2012-04-04 07:52
805,2021,2012-04-04 07:53
383,909,2012-04-04 07:53
247,695,2012-04-04 07:54
318,236,2012-04-04 07:54
627,472,2012-04-04 07:54
783,890,2012-04-04 07:54
783,777,2012-04-04 07:55
785,904,2012-04-04 07:55
306,486,2012-04-04 07:55
407,184,2012-04-04 08:00
58,878,2012-04-04 08:00
184,403,2012-04-04 08:00
407,602,2012-04-04 08:00
407,622,2012-04-04 08:00
295,2771,2012-04-04 08:04
466,608,2012-04-04 08:05
622,990,2012-04-04 08:05
49,1443,2012-04-04 08:05
466,615,2012-04-04 08:06
107,44,2012-04-04 08:07
411,2644,2012-04-04 08:08
309,832,2012-04-04 08:08
628,1912,2012-04-04 08:10
45,2067,2012-04-04 08:10
501,2677,2012-04-04 08:10
561,533,2012-04-04 08:10
501,2370,2012-04-04 08:11
205,658,2012-04-04 08:11
586,1293,2012-04-04 08:12
122,2462,2012-04-04 08:13
411,1569,2012-04-04 08:15
597,1120,2012-04-04 08:16
703,1428,2012-04-04 08:16
121,2062,2012-04-04 08:18
644,637,2012-04-04 08:18
36,12,2012-04-04 08:18
36,2317,2012-04-04 08:19
626,1906,2012-04-04 08:19
36,1366,2012-04-04 08:19
121,460,2012-04-04 08:20
800,601,2012-04-04 08:21
251,1619,2012-04-04 08:22
196,1893,2012-04-04 08:22
586,455,2012-04-04 08:22
800,2707,2012-04-04 08:22
703,2581,2012-04-04 08:23
644,269,2012-04-04 08:23
589,511,2012-04-04 08:23
718,481,2012-04-04 08:23
309,2696,2012-04-04 08:24
107,2192,2012-04-04 08:24
109,1964,2012-04-04 08:25
429,2798,2012-04-04 08:25
309,2062,2012-04-04 08:25
109,2718,2012-04-04 08:25
404,692,2012-04-04 08:26
612,1138,2012-04-04 08:27
612,2552,2012-04-04 08:27
58,137,2012-04-04 08:27
112,998,2012-04-04 08:27
478,2183,2012-04-04 08:28
318,479,2012-04-04 08:29
660,2133,2012-04-04 08:29
501,1161,2012-04-04 08:29
785,401,2012-04-04 08:30
561,2460,2012-04-04 08:30
785,1264,2012-04-04 08:30
75,347,2012-04-04 08:31
205,636,2012-04-04 08:31
718,601,2012-04-04 08:32
692,1264,2012-04-04 08:33
121,273,2012-04-04 08:34
556,212,2012-04-04 08:35
783,243,2012-04-04 08:35
783,337,2012-04-04 08:35
561,2326,2012-04-04 08:35
783,2582,2012-04-04 08:35
439,2734,2012-04-04 08:35
363,427,2012-04-04 08:37
93,358,2012-04-04 08:37
104,1966,2012-04-04 08:38
75,1208,2012-04-04 08:38
54,2299,2012-04-04 08:40
216,92,2012-04-04 08:46
455,2229,2012-04-04 08:46
455,524,2012-04-04 08:47
363,1823,2012-04-04 08:48
746,2705,2012-04-04 08:48
783,385,2012-04-04 08:49
175,2805,2012-04-04 08:50
320,1708,2012-04-04 08:51
89,2776,2012-04-04 08:55
320,363,2012-04-04 08:55
785,317,2012-04-04 08:55
669,2411,2012-04-04 08:55
320,1190,2012-04-04 08:55
694,688,2012-04-04 08:56
327,1827,2012-04-04 08:57
75,1403,2012-04-04 08:57
533,748,2012-04-04 08:57
478,2460,2012-04-04 08:59
714,2712,2012-04-04 08:59
191,2670,2012-04-04 09:00
407,1390,2012-04-04 09:00
703,1582,2012-04-04 09:00
520,2327,2012-04-04 09:02
520,2560,2012-04-04 09:03
563,1155,2012-04-04 09:03
593,1410,2012-04-04 09:03
316,2770,2012-04-04 09:04
129,1592,2012-04-04 09:04
49,1997,2012-04-04 09:05
178,1502,2012-04-04 09:05
129,2234,2012-04-04 09:05
603,2147,2012-04-04 09:05
205,1972,2012-04-04 09:07
86,347,2012-04-04 09:08
61,1249,2012-04-04 09:12
783,1232,2012-04-04 09:13
402,176,2012-04-04 09:14
586,1998,2012-04-04 09:15
178,101,2012-04-04 09:17
515,541,2012-04-04 09:17
503,1604,2012-04-04 09:18
264,1822,2012-04-04 09:19
216,964,2012-04-04 09:20
23,2629,2012-04-04 09:20
731,517,2012-04-04 09:22
309,2205,2012-04-04 09:23
309,157,2012-04-04 09:24
644,1378,2012-04-04 09:24
622,63,2012-04-04 09:24
463,2191,2012-04-04 09:25
597,530,2012-04-04 09:27
589,2108,2012-04-04 09:27
326,56,2012-04-04 09:29
65,782,2012-04-04 09:29
218,1498,2012-04-04 09:29
644,86,2012-04-04 09:30
729,2522,2012-04-04 09:30
564,1571,2012-04-04 09:33
329,2456,2012-04-04 09:34
793,1648,2012-04-04 09:35
178,433,2012-04-04 09:40
503,226,2012-04-04 09:40
178,1796,2012-04-04 09:41
104,728,2012-04-04 09:43
375,422,2012-04-04 09:44
682,1062,2012-04-04 09:45
654,1257,2012-04-04 09:45
556,1788,2012-04-04 09:46
544,2070,2012-04-04 09:47
603,2460,2012-04-04 09:47
555,601,2012-04-04 09:48
683,668,2012-04-04 09:50
511,1621,2012-04-04 09:53
544,1068,2012-04-04 09:53
295,2195,2012-04-04 09:54
61,2057,2012-04-04 09:55
375,2396,2012-04-04 09:56
683,607,2012-04-04 09:57
400,981,2012-04-04 09:59
61,2093,2012-04-04 09:59
120,2191,2012-04-04 10:00
58,322,2012-04-04 10:02
665,1407,2012-04-04 10:03
669,854,2012-04-04 10:03
75,1215,2012-04-04 10:03
463,1863,2012-04-04 10:04
694,187,2012-04-04 10:07
603,2147,2012-04-04 10:07
216,2007,2012-04-04 10:08
733,2497,2012-04-04 10:08
563,1456,2012-04-04 10:10
370,2049,2012-04-04 10:10
317,848,2012-04-04 10:13
563,2424,2012-04-04 10:14
563,1611,2012-04-04 10:16
654,2550,2012-04-04 10:19
496,517,2012-04-04 10:20
104,43,2012-04-04 10:22
268,1861,2012-04-04 10:24
327,2698,2012-04-04 10:24
703,2570,2012-04-04 10:25
643,1559,2012-04-04 10:28
227,2187,2012-04-04 10:31
400,1549,2012-04-04 10:35
563,1232,2012-04-04 10:38
776,910,2012-04-04 10:38
309,370,2012-04-04 10:43
31,1583,2012-04-04 10:44
151,545,2012-04-04 10:44
151,396,2012-04-04 10:44
23,815,2012-04-04 10:45
563,2657,2012-04-04 10:45
439,1953,2012-04-04 10:46
563,460,2012-04-04 10:47
98,2414,2012-04-04 10:49
550,444,2012-04-04 10:51
98,2394,2012-04-04 10:51
563,154,2012-04-04 10:52
98,813,2012-04-04 10:53
654,513,2012-04-04 10:54
346,2649,2012-04-04 10:54
96,2759,2012-04-04 10:54
654,2060,2012-04-04 10:54
98,746,2012-04-04 10:55
69,697,2012-04-04 10:55
93,2710,2012-04-04 10:55
465,1590,2012-04-04 10:55
69,822,2012-04-04 10:58
607,1875,2012-04-04 10:58
490,525,2012-04-04 10:59
96,2686,2012-04-04 11:01
96,1456,2012-04-04 11:01
84,221,2012-04-04 11:02
151,2264,2012-04-04 11:03
694,688,2012-04-04 11:05
503,323,2012-04-04 11:06
611,1904,2012-04-04 11:11
439,2734,2012-04-04 11:13
327,1791,2012-04-04 11:17
694,688,2012-04-04 11:19
318,1724,2012-04-04 11:31
64,482,2012-04-04 11:33
611,2572,2012-04-04 11:35
634,2097,2012-04-04 11:35
439,163,2012-04-04 11:37
204,632,2012-04-04 11:38
229,17,2012-04-04 11:38
84,1599,2012-04-04 11:41
770,1759,2012-04-04 11:42
298,715,2012-04-04 11:51
634,1034,2012-04-04 11:53
589,1689,2012-04-04 11:59
627,1350,2012-04-04 12:01
36,3,2012-04-04 12:06
122,2105,2012-04-04 12:06
84,2431,2012-04-04 12:06
178,1482,2012-04-04 12:06
620,1275,2012-04-04 12:08
359,113,2012-04-04 12:11
797,122,2012-04-04 12:12
204,2680,2012-04-04 12:16
694,1351,2012-04-04 12:17
204,2448,2012-04-04 12:18
204,2303,2012-04-04 12:20
45,1161,2012-04-04 12:22
400,2009,2012-04-04 12:23
104,200,2012-04-04 12:24
626,1311,2012-04-04 12:27
614,2143,2012-04-04 12:28
359,613,2012-04-04 12:29
434,2196,2012-04-04 12:29
538,1361,2012-04-04 12:32
120,2594,2012-04-04 12:32
251,1619,2012-04-04 12:37
257,1268,2012-04-04 12:37
242,1115,2012-04-04 12:37
511,1982,2012-04-04 12:38
64,2053,2012-04-04 12:41
411,2427,2012-04-04 12:41
736,973,2012-04-04 12:43
553,1670,2012-04-04 12:46
666,1936,2012-04-04 12:48
117,800,2012-04-04 12:51
140,435,2012-04-04 12:52
242,1259,2012-04-04 12:54
112,998,2012-04-04 12:54
359,2460,2012-04-04 12:59
21,1758,2012-04-04 12:59
112,2295,2012-04-04 13:00
218,356,2012-04-04 13:02
298,451,2012-04-04 13:02
533,2645,2012-04-04 13:03
196,1893,2012-04-04 13:04
335,2111,2012-04-04 13:05
128,1157,2012-04-04 13:05
335,198,2012-04-04 13:05
335,503,2012-04-04 13:07
363,1823,2012-04-04 13:08
524,820,2012-04-04 13:15
104,898,2012-04-04 13:15
694,688,2012-04-04 13:21
641,1773,2012-04-04 13:21
418,2676,2012-04-04 13:21
257,547,2012-04-04 13:23
257,2108,2012-04-04 13:23
418,2071,2012-04-04 13:24
442,1617,2012-04-04 13:27
269,2045,2012-04-04 13:27
316,2257,2012-04-04 13:28
490,1408,2012-04-04 13:29
306,2212,2012-04-04 13:33
667,455,2012-04-04 13:35
204,2754,2012-04-04 13:38
157,1869,2012-04-04 13:43
117,487,2012-04-04 13:43
157,1994,2012-04-04 13:43
295,2195,2012-04-04 13:45
157,2355,2012-04-04 13:45
418,1663,2012-04-04 13:46
430,432,2012-04-04 13:51
157,741,2012-04-04 13:54
733,1842,2012-04-04 13:55
666,1282,2012-04-04 13:55
561,435,2012-04-04 13:56
439,2731,2012-04-04 13:57
247,1779,2012-04-04 13:59
304,2794,2012-04-04 14:00
422,1501,2012-04-04 14:04
503,1067,2012-04-04 14:04
503,2006,2012-04-04 14:04
157,1063,2012-04-04 14:05
463,1854,2012-04-04 14:05
74,690,2012-04-04 14:07
335,201,2012-04-04 14:10
98,2406,2012-04-04 14:12
204,504,2012-04-04 14:14
120,1173,2012-04-04 14:15
729,356,2012-04-04 14:15
204,1477,2012-04-04 14:16
204,2518,2012-04-04 14:18
554,603,2012-04-04 14:20
403,1179,2012-04-04 14:20
403,2211,2012-04-04 14:21
61,2140,2012-04-04 14:21
75,313,2012-04-04 14:22
403,580,2012-04-04 14:22
75,1823,2012-04-04 14:22
403,373,2012-04-04 14:22
197,2227,2012-04-04 14:24
49,1100,2012-04-04 14:24
550,444,2012-04-04 14:24
46,975,2012-04-04 14:30
98,813,2012-04-04 14:30
299,2145,2012-04-04 14:31
611,2257,2012-04-04 14:33
439,108,2012-04-04 14:34
104,2783,2012-04-04 14:41
597,530,2012-04-04 14:42
63,1264,2012-04-04 14:42
797,1222,2012-04-04 14:42
346,325,2012-04-04 14:42
442,764,2012-04-04 14:43
119,1047,2012-04-04 14:43
761,1352,2012-04-04 14:44
442,772,2012-04-04 14:44
75,2725,2012-04-04 14:44
574,133,2012-04-04 14:44
558,1773,2012-04-04 14:45
299,1873,2012-04-04 14:45
405,2382,2012-04-04 14:46
157,391,2012-04-04 14:48
351,722,2012-04-04 14:49
666,2035,2012-04-04 14:49
563,616,2012-04-04 14:49
144,1176,2012-04-04 14:52
54,2225,2012-04-04 14:56
701,2398,2012-04-04 14:56
709,626,2012-04-04 14:57
144,2542,2012-04-04 14:58
797,122,2012-04-04 15:02
151,2635,2012-04-04 15:03
701,1389,2012-04-04 15:04
370,893,2012-04-04 15:08
608,2167,2012-04-04 15:09
792,1686,2012-04-04 15:11
464,2790,2012-04-04 15:11
464,2095,2012-04-04 15:11
738,283,2012-04-04 15:11
553,1908,2012-04-04 15:11
608,1590,2012-04-04 15:12
312,230,2012-04-04 15:17
