Pid,Uid,Catname,Region,Time,neighbors,forward_neighbors
11,"[1570, 52, 1364, 970, 785, 319, 582, 3, 699, 1077, 2078, 35, 1499, 844, 170, 935, 1757, 1134, 814, 1310, 359, 1376, 768]",157,5,"[17, 19, 11, 21, 13, 18, 14, 15, 7, 22, 20, 0, 8]","[177, 4348, 2429, 4618, 3149, 4608, 2763, 2248, 3621, 3344, 4930, 4812, 726, 4716, 2399, 2195, 3778, 3469, 75, 2479, 4017, 2749, 2484, 4847, 662, 911, 406, 3067, 4486, 3284, 3897, 1853, 2794, 2325, 3874, 4857, 4861, 4703, 380, 1753, 319]","[177, 4348, 4618, 4608, 3621, 4812, 2429, 3778, 75, 4017, 2484, 4847, 911, 4486, 3897, 2794, 3874, 4861, 380, 319]"
12,"[2060, 237, 1348, 417, 376, 520, 1657]",13,53,"[22, 6, 19, 18, 17, 20, 13]","[3958, 4561, 4195, 109, 795, 2036, 3772, 1518, 3903, 2200, 1643, 2302, 897, 2064, 3317, 294]","[3958, 109, 2036, 1518, 3903, 1643, 897, 4561, 3317]"
13,"[1281, 1805]",129,5,"[11, 13, 12, 19, 21]","[688, 4820, 2327, 916, 4940, 776, 4870, 4812, 1281, 102, 772, 2928, 4482, 575, 1753]","[4820, 688, 2327, 4870, 916, 1281, 1753]"
14,"[1683, 1041, 762]",103,53,"[10, 14, 16, 15, 17, 9]","[2337, 14, 1716, 2429, 3958, 1964, 786, 2766, 930, 1808, 2547, 2908]","[2337, 14, 2429, 786, 1808, 2908]"
15,"[994, 410]",1,5,"[13, 21, 17, 14, 16, 23, 22, 0]","[2971, 172, 734, 3919, 324, 1812, 4876, 3855, 3963, 2253, 2610, 49, 80, 4369, 916]","[2971, 4876, 3855, 3963, 172, 2253, 49, 3919, 324, 4369]"
16,"[1580, 1996]",146,53,"[11, 9, 13, 20, 19, 18, 17]","[3148, 2337, 4278, 4382, 1781, 2963, 1542, 2144, 4499, 3162, 2050]","[2337, 3148, 4278, 2963, 1542, 4382, 4499]"
17,"[224, 1509]",5,51,"[13, 22, 16, 14, 17, 21]","[4580, 1667, 368, 17, 2872, 3447, 1430]","[4580, 1667, 368, 17]"
18,"[1637, 1906, 2055, 272, 196, 722, 588, 1539, 181, 1110, 477, 626, 1784, 1662, 1218, 403, 48, 812, 1940, 1801, 235, 1337, 1054, 1525, 1089, 150, 1418, 324, 1083, 432, 78, 1473, 1825, 82, 419, 906, 490, 256, 728, 279, 1046, 1634, 452, 247, 1477, 74, 200, 1097, 1299, 374, 1566, 1389, 2023, 1210]",63,16,"[13, 19, 17, 20, 10, 12, 14, 18, 16, 15, 21]","[1716, 991, 411, 3098, 4731, 18, 4932, 940, 765, 2201, 786, 2059, 1696, 699, 3114, 2613, 1291, 3958, 461, 2779, 4090, 1419, 4701, 4297, 4219, 2979, 321, 4384, 157, 2757, 2285, 4337, 2768, 1758, 1822, 2441, 4464, 3132, 2800, 1539, 3172, 1324, 3846, 1184, 4655, 671, 4492, 4509, 3782, 1370, 556, 3013, 3423, 3541, 4187, 968, 3332, 1377, 1642, 3404, 363, 1653, 2491, 3967, 3011, 1981, 4591, 3029, 1057, 1621, 1025, 537, 2337, 4272, 1686, 3620, 637, 2976, 84, 3445, 2391, 167, 1005, 2254]","[1716, 411, 4932, 2201, 2059, 940, 18, 4731, 991, 1419, 4297, 2979, 321, 4384, 2757, 4337, 1758, 4464, 2800, 3846, 1184, 765, 699, 4492, 4509, 2613, 1370, 786, 3013, 3958, 3423, 3541, 968, 1377, 3404, 363, 2491, 3967, 3098, 1981, 4591, 3029, 2779, 1621, 1025, 2337, 1291, 4272, 3620, 637, 2976, 3445, 167, 2254]"
19,"[636, 887]",1,50,"[0, 8, 21, 23, 22, 1, 7, 18]","[4769, 3520, 19, 1327, 459, 1975, 1753, 2003, 2517, 940, 978, 4716, 3568, 1991, 2238, 1400, 2652, 1589, 2402]","[4769, 19, 3520, 459, 4716, 1753, 1327, 2003, 2238, 2517, 1589, 940, 978]"
20,"[212, 589, 1503, 1616, 2055, 346, 477, 74, 1049, 1411, 912, 1477, 185]",28,37,"[11, 19, 18, 15, 17, 12, 16, 14, 9, 13, 20]","[90, 2480, 1218, 1650, 762, 2182, 1654, 20, 4479, 4809, 2428, 2199, 3880, 786, 2843, 3077, 325, 3780, 1438, 310, 4268, 3804, 1115, 3150, 421, 4685, 1266, 4050, 3306, 1127, 857, 2715, 2710, 773, 3017, 1463, 601]","[90, 1218, 2480, 4479, 1650, 2182, 1654, 20, 310, 2199, 1115, 421, 4685, 1266, 3306, 857, 2710, 762, 3017, 1463, 3880, 601]"
21,[501],72,18,"[6, 19, 21, 22, 18, 0]","[1188, 899, 121, 4554, 21, 2610, 869, 4363]","[899, 1188, 4554, 121, 21, 2610]"
22,"[1933, 1671]",13,37,"[6, 16, 17, 7, 14]","[2774, 1650, 1836, 1095, 383, 4268, 3156, 1262, 1094, 2094, 196, 1266, 4537, 4570]","[2774, 1650, 2094, 383, 4268, 196, 1262, 4537, 1095, 4570]"
23,[1947],150,53,"[18, 20]","[2337, 574, 3167, 1130, 1671, 1355, 2235, 1913]","[2337, 1130, 1671, 2235, 574]"
24,"[1894, 278, 1783]",78,42,"[12, 16, 13, 20, 14, 10, 17, 19, 9, 18, 15, 21]","[4373, 24, 2943, 1784, 3067, 2535, 1430, 4146, 4203, 1731, 2079, 971, 3595]","[4373, 24, 2943, 1430, 3067, 2535, 1784, 4146, 4203, 2079, 3595]"
25,"[291, 1327, 1393, 109, 816, 1240, 1004, 398, 466, 1436, 2103, 1293, 760, 857, 1951, 1998, 1535, 808]",78,5,"[13, 15, 11, 16, 9, 10, 19, 21, 17, 14, 8, 12, 18]","[3209, 2429, 3564, 549, 177, 4215, 3206, 786, 3577, 1051, 1070, 3328, 1287, 3466, 1415, 1442, 3638, 1907, 25, 1421, 1888, 2573, 2397, 4127, 3512, 4169, 2850, 3346, 2192, 2029, 4861, 4693, 326, 4300, 1305, 4619, 3257, 2030, 3222, 3389]","[3564, 3209, 2429, 177, 1070, 3466, 4215, 3638, 2573, 3206, 3577, 4169, 3346, 3328, 4861, 1287, 1415, 4693, 326, 549, 786, 1907, 25, 1421, 4619, 2030, 3389]"
26,[249],13,16,"[13, 17, 18, 20, 16, 14, 19]","[786, 1716, 765, 4453, 1654, 2988, 3020, 4610]","[786, 2988, 3020, 4610]"
27,"[1103, 235, 930, 1012, 1076, 1814]",30,16,"[16, 17, 15, 8, 18, 11, 10]","[940, 4934, 2290, 3153, 4488, 1989, 2133, 1324, 3581, 4471, 885, 2574, 3958, 1716, 31, 2031, 671, 786, 362]","[4934, 4488, 2133, 1324, 3581, 2574, 1716, 2031, 786, 2290]"
28,"[1121, 1453]",96,51,"[9, 12, 20, 15, 16, 19, 8, 18]","[4339, 2337, 82, 2242, 4192, 4813, 4251, 1064, 3533, 4888, 64]","[4339, 2337, 2242, 1064, 4192, 4888]"
29,"[229, 87, 1369, 410, 1884, 106, 1670, 486]",13,24,"[17, 18, 20, 15]","[1266, 472, 3265, 4477, 2445, 3415, 4922, 534, 3801, 325, 4694, 4703, 574]","[1266, 3265, 2445, 3415, 534, 325, 4703]"
30,"[297, 485, 237, 1794, 1703, 415, 1682, 685, 1309, 104, 1248, 425, 1081, 147, 1263, 239, 226]",23,19,"[22, 10, 16, 20, 7, 9, 17, 19, 13, 18, 1, 11, 15, 23, 21, 4, 8, 0]","[4421, 970, 167, 30, 3569, 1014, 3958, 2278, 3098, 3515, 3505, 1220, 153, 3565, 2332, 369, 2243, 4534, 753, 4806, 4879, 1384, 3859, 2040, 1732, 3487, 3495, 4442, 480, 4438, 786, 3606, 4838, 2754, 1170, 3848, 1716, 773, 1940, 750, 654, 2836, 2059, 4123, 4805, 4087]","[4421, 970, 30, 3569, 167, 1014, 3958, 1220, 153, 369, 2243, 3098, 4534, 4879, 3859, 1732, 3495, 480, 4438, 786, 4838, 1716, 1940, 2278, 4805, 3515]"
31,"[32, 101, 761, 1055, 702, 1076, 138, 1995]",30,5,"[18, 19, 12, 13, 16, 14, 17]","[992, 3733, 31, 392, 262, 3500, 4127, 3257, 4530, 1070, 854, 2327, 1762, 2029, 3958, 2429, 177, 3229, 27, 3990, 4332]","[992, 3733, 31, 3500, 3257, 1070, 392, 1762, 3958, 177, 27, 4332]"
32,"[2048, 466, 133, 458, 1364, 980, 193, 535, 372]",129,42,"[22, 20, 21, 17, 15, 19, 16, 18]","[4716, 177, 4357, 362, 2659, 2224, 786, 1164, 2661, 1711, 3182, 3390, 3021, 1403, 2195, 1121, 2272, 478, 718, 1268, 1853, 2723]","[4716, 2659, 2224, 786, 2661, 3182, 3021, 1403, 1121, 177, 478, 1853, 2723]"
33,[603],30,51,"[17, 9, 15, 14, 16, 11, 19, 10, 13]","[33, 940, 2455, 329, 167, 2341, 1736]","[33, 940, 2455, 329, 167]"
34,"[1984, 980, 270, 1475, 426, 646, 1186, 1214, 406, 1307, 582, 1160, 2089, 118, 1703, 898, 1309, 1812, 433, 1129, 1784, 405, 891, 992, 1736, 1563, 1153]",130,47,"[21, 17, 16, 19, 13, 22, 20, 10, 15, 14, 18, 11, 23, 8, 12, 7, 0]","[3112, 1844, 2278, 909, 2083, 176, 34, 4543, 1805, 3569, 4143, 3487, 1905, 3685, 3539, 4763, 816, 4690, 786, 2660, 975, 713, 3267, 1324, 3545, 1903, 3493, 398, 930, 2429, 4298, 4449, 2160, 1650, 2953, 1630, 3128, 2490, 4482, 3980, 652, 3547, 1733, 2901, 3140, 1950, 1405, 4274, 362, 1056, 2675, 1243, 1064, 2754, 4651, 554, 411, 4330]","[3112, 4543, 2278, 4143, 1844, 3487, 909, 1805, 3569, 34, 786, 3539, 3545, 816, 3493, 930, 4298, 4690, 4449, 1905, 2953, 1630, 2490, 3980, 3547, 1733, 3140, 1950, 1405, 4274, 2660, 2675, 176, 713, 3267, 411]"
35,"[1007, 7, 99, 2107]",103,57,"[20, 16, 17, 14, 22, 12, 18, 0, 9, 15, 13, 10, 4, 11, 6, 7, 21]","[3466, 35, 342, 4366, 2157, 610, 4341, 3498, 1873, 1196, 4919, 4725, 1399, 1559, 3619, 1645, 1209, 1060, 3678, 3472, 126, 4467, 2319, 2668, 38]","[3466, 35, 342, 4366, 2157, 4725, 1399, 1559, 4341, 1209, 1060, 610, 3498, 126, 1196, 4467]"
36,"[810, 778, 417, 1599, 211, 1262, 542, 1860, 998, 504, 628, 2087, 13, 511, 924, 736, 1811, 1548, 728, 1211, 1071, 1494, 1804, 1202, 283, 1399, 448, 1418, 14, 1098, 1906, 356, 2103, 142, 461, 1489, 197, 1012, 1943, 1276, 229, 63, 2061, 1606, 121, 731, 1315, 720, 1198, 1654, 915, 1300, 1590, 543, 2047, 1997, 934, 507, 1934, 2097, 2042, 218, 1087, 244, 675, 750, 1091, 1001, 1514, 1669, 410, 414, 598, 184, 379, 526, 1306, 2062, 204, 600, 397, 319, 390, 265, 1513, 1945, 359, 84, 957, 1911, 1657, 712, 713, 219, 822, 1658, 1008, 1124, 1018, 54, 23, 1417, 2088, 1059, 1801, 1331, 549, 1317, 1070, 1519, 763, 2035, 2027, 1695, 440, 1256, 173, 423, 1142, 2015, 10, 1917, 123, 1986, 717, 1678, 1382, 880, 403, 1797, 1820, 1582, 207, 1570, 1610, 1015, 922, 2040, 1278, 979, 610, 225, 1882, 1626, 357, 1434, 1176, 1127, 155, 1696, 1497, 1909, 1775, 1279, 1652, 1711, 1891, 307, 1784, 1238, 1446, 408, 582, 1851, 353, 485, 997, 1792, 179, 1897, 425, 276, 36, 1664, 1916, 323, 965, 1036, 1540, 745, 238, 348, 479, 1806, 1077, 1175, 866, 89, 151, 1579, 2010, 697, 2094, 1566, 343, 109, 1227, 99, 1462, 1187, 177, 148, 1435, 693, 1287, 372, 951, 796, 20, 974, 1675, 394, 864, 487, 556, 112, 391, 646, 436, 1295, 2093, 1750, 1634, 1731, 1693, 857, 1415, 1346]",23,22,"[8, 13, 14, 18, 19, 22, 6, 9, 11, 12, 15, 16, 0, 20, 10, 17, 21, 23, 7, 5, 1, 3]","[177, 36, 372, 2429, 3205, 411, 2284, 786, 1969, 2555, 2587, 3441, 1964, 2651, 1686, 4654, 42, 2724, 1284, 1070, 2564, 2905, 1716, 368, 4401, 3173, 2153, 4571, 3375, 3739, 3837, 2988, 4716, 4123, 2611, 316, 1154, 3466, 3113, 1796, 3314, 985, 441, 3958, 1442, 1478, 4604, 461, 362, 2417, 783, 574, 94, 2106, 1308, 2370, 198, 4274, 1286, 534, 459, 2511, 1193, 2117, 1689, 3812, 3495, 726, 2508, 4249, 202, 3881, 4465, 2608, 2631, 3951, 4499, 2598, 4888, 4652, 930, 3301, 1363, 2029, 2337, 848, 3176, 4198, 3850, 1808, 2315, 4293, 3556, 728, 1644, 940, 1377, 1892, 4449, 1765, 4552, 2478, 4392, 2843, 1728, 308, 220, 1769, 3898, 1736, 1310, 8, 2972, 4384, 2870, 158, 3929, 2181, 560, 361, 4591, 1900, 3777, 3404, 3681, 73, 2358, 2278, 1324, 692, 1934, 3938, 486, 2859, 3336, 1237, 10, 191, 1184, 141, 2842, 321, 3139, 2886, 2399, 4837, 4592, 2183, 4785, 3201, 1873, 4300, 62, 2743, 4323, 1202, 3098, 1632, 654, 2034, 3446, 1848, 3942, 4433, 3155, 2766, 4346, 2802, 3627, 624, 1240, 287, 1519, 3530, 1920, 1539, 4330, 3757, 2686, 4396, 1610, 3903, 4886, 2963, 4549, 2595, 2196, 719, 4676, 803, 3243, 2767, 1344, 908, 3082, 504, 1762, 1124, 4063, 4784, 2398, 4343, 2810, 1137, 151, 4580, 4801, 4930, 2455, 2374, 906, 996, 4035, 3960, 1908, 2800, 697, 1493, 2414, 305, 742, 3297, 3468, 1064, 2195, 2941, 792, 1838, 2294, 3894, 1023, 2083, 4337, 992, 2893, 3666, 2061, 2501, 741, 2799, 4149, 4544, 4618, 4341, 589, 83, 1006, 3172, 989, 3983, 4087, 4210, 2362, 3963, 2026, 1166, 3186, 2037, 822, 3833, 3223, 3496, 1266, 1315, 244, 1146, 3965, 641, 1090, 948, 553, 2495, 2530, 422, 1022, 765, 716, 1034, 4215, 2421, 3593, 4222, 3182, 1931, 2837, 4127, 1157, 2145, 4613, 4276, 4080, 1747, 1858, 2897, 4646, 4847, 4176, 4459, 1316, 1589, 3611, 2780, 2265, 1401, 4771, 46, 4584, 4220, 3021, 2150, 3284, 3241, 1824, 3403, 4389, 1280, 3270, 2805, 738, 1999, 2760, 3282, 2603, 3011, 1722, 3722, 1429, 1116, 3029, 4831]","[177, 36, 372, 3205, 2429, 2284, 411, 786, 1969, 1964, 2555, 2587, 4654, 2651, 1284, 2564, 3441, 1686, 2153, 42, 1070, 2905, 2611, 4123, 3837, 1154, 4401, 2988, 2724, 368, 3739, 1796, 4571, 1478, 3113, 316, 3375, 461, 94, 1308, 1716, 2370, 985, 3466, 2508, 574, 3314, 2337, 3176, 441, 4274, 3173, 1286, 1808, 4293, 4716, 3958, 1892, 4552, 2478, 3881, 1442, 459, 4392, 308, 2631, 1736, 4499, 8, 2598, 4652, 3929, 2181, 3812, 361, 3777, 2608, 198, 1934, 848, 1193, 1184, 321, 2886, 2315, 3556, 3201, 726, 62, 4323, 654, 1765, 3942, 4433, 3627, 624, 3530, 1920, 3757, 1610, 3951, 1310, 1689, 2963, 4676, 3243, 2767, 4384, 4604, 908, 930, 158, 504, 1124, 2810, 4249, 1137, 4580, 4801, 4930, 906, 3960, 1908, 560, 697, 305, 742, 1363, 3468, 3404, 2029, 3681, 2941, 2294, 1023, 2083, 2358, 992, 2893, 2501, 202, 2799, 2278, 1006, 2117, 3172, 989, 3983, 3963, 2026, 2037, 3938, 822, 2859, 3223, 3336, 692, 783, 3301, 1315, 1146, 3965, 553, 2495, 422, 716, 1034, 4215, 3593, 4222, 2837, 4198, 2145, 191, 4276, 4080, 534, 1747, 73, 2897, 4176, 4459, 1589, 10, 2265, 362, 2842, 2417, 728, 3021, 1728, 3284, 3403, 2843, 738, 1999, 2760, 3282, 4837, 4592, 1324, 4591, 1722, 1429, 4831]"
37,"[1654, 321]",103,51,"[13, 15, 8, 17, 11]","[2797, 3382, 2427, 3576, 234, 1248, 3447, 534, 1747, 3538, 4013, 321, 4360, 169, 2098]","[3447, 234, 3576, 2427, 3538, 4013, 321, 3382, 1248, 169, 2098, 534]"
