Pid,Uid,Catname,Region,Time,neighbors,forward_neighbors
11,"[2257, 2146, 266, 1687, 644, 2311]",162,206,"[0, 1, 21, 2, 22, 19, 17]","[5440, 2623, 1812, 5584, 1363, 644, 6136, 6827, 4407, 4244, 2443, 3629, 6630, 5167, 6450, 2011, 3093, 4479, 604, 185, 5506]","[2623, 644, 4407, 2443, 6630, 5167, 6450, 1812, 3093, 604, 5584, 5506]"
12,"[1359, 461, 1170, 1935, 1618, 2580, 3109, 561, 1750, 438, 356, 2370, 2417, 2981, 822, 1660, 1946, 2468, 1780, 1246, 2035]",58,29,"[23, 20, 1, 19, 5, 3, 2, 4, 0, 17]","[6471, 3312, 5468, 1199, 3317, 3156, 1074, 3570, 3475, 1851, 2913, 54, 2815, 5749, 3831, 2593, 1905, 3483, 1635, 6838, 6096, 1899, 2061, 152, 4838, 6279, 6361, 6593, 6278, 1398, 1625, 1492, 6551, 6384]","[6471, 3156, 1074, 3570, 3475, 2913, 54, 5468, 5749, 3831, 1199, 3483, 1635, 3312, 1899, 2061, 152, 6279, 6361, 1625, 6551, 6384]"
13,"[2257, 2392, 1047, 1271, 1944, 2544, 717, 1538, 356, 713, 3116]",87,456,"[19, 21, 20, 23, 18, 16, 15, 2, 14]","[2934, 5638, 4898, 3172, 6483, 1141, 2225, 5478, 1868, 5510, 1946, 5116, 6125, 6704, 5463, 532, 2813, 4857, 601]","[4898, 5638, 2934, 3172, 1868, 1141, 2225, 5510, 5116, 6125, 2813]"
14,"[1359, 2568, 1621, 332, 2235, 1135, 1815, 1310, 356, 406, 1646]",29,29,"[2, 3, 7, 5, 6, 4]","[3265, 2642, 4716, 4201, 528, 1300, 373, 4992, 3191, 1610, 4219, 1612, 755, 2924, 2536, 5491, 4021, 6407, 1516, 1344, 4648, 6440, 23]","[4716, 528, 1300, 373, 3265, 4219, 755, 2642, 5491, 6407, 1516, 4648, 23]"
15,"[622, 2515, 1202, 971, 791]",263,161,"[3, 4, 2, 0, 1, 7, 15, 19, 5, 23, 21, 14, 20, 9, 17, 8, 18]","[15, 5328, 8, 2015, 2168, 6905, 6241, 2240, 3285, 4738, 2701, 775, 5609, 6397, 4370, 832, 5892, 3345, 5429, 1160, 146, 2633, 5563, 4091]","[15, 5328, 8, 2015, 6241, 6397, 3285, 4738, 4370, 5892, 2701, 775, 6905, 5609, 4091]"
16,"[1937, 1541, 3073, 3076, 1826, 1047, 2257, 2669, 2715, 1501, 1929, 266, 2880, 644]",61,460,"[0, 20, 6, 5, 7, 15, 18, 4, 23, 2, 1, 21, 3, 19]","[3303, 1213, 1439, 2373, 4939, 2228, 1735, 5844, 2535, 5272, 1322, 6017, 690, 5526, 5691, 2014, 4811, 6849, 650, 2835, 5956, 1001, 4784, 6530, 4074, 5089, 5838, 3018, 2513, 1319, 2568, 1600, 53, 2482, 3910]","[3303, 1213, 2228, 4939, 690, 1439, 1735, 5844, 2535, 2014, 4811, 2373, 650, 6017, 5956, 1001, 5526, 5089, 3018, 1319, 3910]"
17,[1247],114,203,"[1, 2, 17, 5, 3]","[5907, 2370, 4541, 2870, 3132, 17, 776]","[2370, 2870, 5907, 17, 4541]"
18,[325],29,544,"[19, 23, 3, 18, 0, 22, 1]","[2272, 3438, 18]","[2272, 3438, 18]"
19,"[1706, 2858, 1290, 414, 243, 645, 2884, 2161, 1054, 999]",154,434,"[19, 21, 18, 23, 2, 3, 0, 17]","[59, 977, 1041, 1714, 309, 5104, 4487, 3626, 6598, 1256, 6856, 3503, 1396, 6075]","[1041, 59, 1714, 5104, 3626, 6598, 3503, 1396]"
20,"[2235, 546, 438, 2598]",73,29,"[20, 12, 22, 17, 7, 19, 9, 3, 6, 10, 5, 1, 16, 8, 4, 11, 14, 15, 21, 18, 0, 2, 23]","[20, 1487, 2100, 5056, 6523, 1196, 842, 813, 3459, 412, 4648, 1963, 3246, 4478, 4455, 6777, 5711, 629, 1913, 2521, 4473, 6270, 1587, 1516, 1639, 3156, 119, 6743, 770, 6318, 661, 4962, 5920, 1614, 2368, 3531, 2554, 6595, 1214, 3119, 5005, 3466, 4181, 4598, 202, 857, 765, 4822, 775, 1104, 6471, 82, 4427, 2563, 3385, 2300, 6132, 4115, 4180, 2540, 3885, 6418, 3483, 1980, 1022, 1523, 272, 5468, 2177, 2913, 5498, 624, 6279, 5513, 3622, 6453, 6749, 1495, 5125, 5320, 1905, 6478, 1205, 4486, 1344, 4572, 2865, 428, 5150, 4357, 4126, 2134, 2586, 55, 6289, 2311, 3604, 5073, 5245, 243, 598, 5190, 6607, 3863, 6906]","[1487, 20, 2100, 5056, 842, 6523, 4648, 3459, 1963, 3246, 770, 661, 412, 5920, 1614, 6595, 3119, 6777, 202, 765, 629, 4822, 1913, 3385, 2521, 4115, 2540, 6270, 3483, 1022, 1196, 5468, 2177, 2913, 624, 6279, 5513, 3622, 1495, 5125, 1905, 1205, 1639, 1344, 2865, 3156, 119, 813, 4357, 4126, 2134, 1587, 2311, 5073, 598, 5190, 3863, 6906, 4478]"
21,"[2319, 1107, 17, 134, 1391, 2277]",267,169,"[1, 21, 3, 0, 19, 2, 4, 20, 23]","[4301, 6719, 5843, 4684, 3627, 4380, 3377, 5720, 4539, 1723, 4489, 1630, 1714, 864, 4932, 4071, 2918]","[5843, 3627, 3377, 1723, 1630, 864, 4071, 4301, 2918]"
22,"[1622, 1706, 46, 2161, 478, 2349, 1695, 999, 200, 1913]",183,434,"[23, 20, 21, 22, 3, 19, 6, 2]","[3219, 2622, 4158, 6798, 1722, 3925, 4625, 4152, 221, 5895, 1573, 352, 6700, 6832, 3062, 4829]","[3219, 1722, 4158, 3925, 4152, 221, 1573, 3062, 4829]"
23,"[1359, 2267, 291, 2713, 346, 2085, 2671, 2170, 438, 1382, 13, 1555, 902, 1996, 992, 1878, 2568, 2657, 158, 476, 2423, 386, 975, 2047, 1893, 1570, 1626, 2006, 458, 618, 1528, 3129, 1145, 3031, 2216]",26,29,"[2, 7, 4, 5, 8, 22, 21, 1, 20, 0, 3, 19, 23, 16, 6]","[2082, 6447, 6523, 385, 1873, 4478, 2521, 1189, 278, 6442, 4126, 2750, 5140, 6163, 661, 1923, 6759, 1092, 60, 5619, 3220, 501, 1516, 3117, 6318, 5025, 6650, 2368, 1344, 6253, 5380, 1612, 3849, 4771, 4513, 534, 6653, 2604, 5089, 6174, 2477, 3531, 679, 685, 654, 2481, 1639, 1409, 225, 943, 5560, 3960, 1495, 1376, 4587, 1971, 1533, 813, 14, 4750, 1177, 5400, 3963, 6686, 4716, 1808, 5749, 4013, 4427, 2052, 6831]","[6523, 1873, 2521, 6442, 4126, 2750, 6163, 1923, 385, 1092, 5619, 501, 4478, 6318, 6650, 2082, 6253, 1612, 278, 4771, 2604, 5089, 3531, 685, 1639, 5560, 1376, 5140, 1971, 813, 4750, 1177, 3963, 4716, 5749, 4427, 6831]"
24,"[175, 1202, 2391, 940, 1148, 1502, 326, 230]",208,283,"[1, 18, 14, 16, 3, 21, 20]","[495, 4569, 2191, 5412, 5836, 1361, 1200, 898, 6281, 181, 2819, 2258, 5094, 6776, 3651, 5752]","[5412, 1361, 495, 4569, 6281, 2819, 5094, 6776, 3651, 5752]"
25,"[2945, 935, 42, 285, 1193]",104,191,"[0, 4, 5, 3, 19, 1, 13, 23, 2, 20, 18, 14]","[3614, 489, 3840, 4573, 4211, 3371, 1230, 1757, 6412, 4718, 3941, 6612, 458, 3617, 3440, 2894, 4770, 5762, 3480, 1415, 3418]","[3614, 489, 3840, 4211, 1230, 3418]"
26,"[2235, 1150, 380, 1019, 2407, 1714, 867, 1395, 1720, 1041, 2188, 1017, 386, 104, 282, 2839, 2320, 2520, 1930]",256,29,"[19, 0, 8, 2, 6, 4, 1, 3, 7, 17]","[6645, 1552, 1011, 5124, 1335, 654, 4010, 228, 6366, 5905, 38, 1430, 3844, 1856, 610, 2964, 2445, 931, 1962, 3516, 1947, 2643, 6331, 842, 1639, 2954, 6561, 3660, 3570, 1012, 6041, 4115]","[6645, 1011, 654, 228, 5905, 38, 3844, 610, 2964, 5124, 3516, 6331, 1639, 6561, 3570, 6041]"
27,"[1454, 1707]",178,539,"[2, 6, 4, 21, 14]","[6648, 5242, 27, 2033, 3803, 1546, 6889, 6072, 3556, 92]","[6648, 5242, 3803, 27]"
28,"[2575, 303, 591]",289,275,"[18, 22, 0, 19, 1, 2, 17]","[4953, 5811, 6797, 28, 6721]","[5811, 4953, 6797, 28, 6721]"
29,"[2073, 376, 933, 982, 758, 2175, 3078, 2130, 2343, 848, 1349, 1711, 2542, 1081, 1191, 3169, 2157, 3116]",8,101,"[22, 21, 19, 23, 5, 2, 1, 20, 3, 4, 7]","[4745, 1235, 6064, 5738, 6685, 5584, 3363, 3041, 1347, 5568, 1788, 132, 2665, 3487, 2794, 6784, 2261, 872, 6747, 2982, 5517, 5475, 1720, 1839, 3998, 5637, 3174, 58, 4873, 5477, 2741]","[6685, 4745, 6064, 1347, 5738, 132, 5584, 2794, 3363, 872, 2982, 5475, 1839, 1235, 3174, 4873, 5477]"
30,"[2858, 2257, 1047, 3103, 1085, 557, 470, 3137]",227,225,"[21, 3, 18, 20, 2, 22, 16]","[2048, 4958, 662, 5774, 5882, 2639, 1143, 427, 30, 5797, 121, 5988, 2721, 31, 4438, 6376, 3141, 1068, 5155, 1682, 1734, 4140, 6621, 2661]","[2048, 2639, 4958, 427, 5988, 31, 4438, 6376, 662, 1143, 1068, 30, 5155, 121, 5797, 4140, 2661]"
31,"[2640, 2945, 2319, 1599, 1524, 2613, 1047, 1219, 1320, 1813, 2699, 3171, 1227, 3220, 819, 1391, 2277, 1107, 1810, 2020, 2432, 940, 133, 494, 2086, 2794, 2772]",173,100,"[3, 19, 20, 1, 2, 4, 16, 21, 22, 18, 0]","[5497, 3377, 771, 6395, 6662, 3731, 3811, 481, 427, 1948, 6109, 31, 1372, 3861, 6458, 30, 662, 6376, 4958, 2447, 2264, 4916, 5243, 2622, 1027, 4489, 1659, 5643, 4076, 6773, 5285, 2257, 2397, 4712, 3132, 4763, 1194, 2171, 4112, 1466, 4953, 6888, 6843, 1465, 5118]","[771, 3731, 6662, 3377, 3811, 427, 6395, 5497, 1372, 3861, 6458, 4916, 5243, 2622, 4489, 1659, 6773, 5285, 2397, 3132, 6109, 1466, 6888, 31, 1948, 1465]"
32,"[346, 1368, 2389, 296, 561, 867, 861, 1639, 1760, 1253, 2569]",26,29,"[21, 18, 19, 20, 4, 15, 23, 17]","[1137, 3351, 228, 1177, 4145, 813, 4254, 1308, 54, 161, 1674, 1084, 1905, 1962, 3807, 412, 6502, 5655, 6372, 4114, 2077, 6622, 535, 3887, 5996, 5300, 1062, 862, 2783]","[1137, 3351, 813, 1308, 161, 1084, 1962, 412, 228, 5655, 4114, 6622, 3887, 5300]"
33,"[430, 2022, 2817, 1700, 467, 2877, 1188, 1931, 2189]",192,364,"[2, 4, 20, 19, 1]","[6513, 643, 4223, 44, 3356, 589, 5741, 1633, 842, 3910, 2372, 4873, 351, 4375]","[643, 6513, 4223, 589, 1633, 842, 2372, 351, 4375]"
34,"[2235, 1621, 628, 1135, 1333, 2453, 27]",146,504,"[8, 20, 2, 0, 3, 17, 6, 7, 4]","[6380, 3430, 235, 610, 3849, 5645, 4429, 4255, 2773, 134, 6289, 6520, 5753]","[6380, 5645, 235, 4255, 6289, 610, 3430, 5753]"
35,"[1731, 3143, 1255, 805, 3174, 1183, 549, 1640, 935, 932, 1064]",283,145,"[3, 2, 16, 5, 20, 6, 23, 1]","[370, 1341, 5304, 1703, 5370, 1503, 694, 5455, 2382, 4503, 4543, 4154, 2916, 5763, 1997, 2110]","[1703, 5370, 370, 694, 2382, 4503, 4154, 5304, 5763, 1997, 2110]"
36,"[2025, 3103, 2796, 1418, 965, 662, 1923, 210, 1820, 936, 174]",196,272,"[0, 3, 7, 4, 5, 21, 20, 22, 19]","[1727, 6141, 5787, 1959, 5417, 2820, 4336, 6333, 713, 275, 50, 4967, 4338, 3154, 1466, 5248, 5447, 668]","[1727, 6141, 6333, 1959, 275, 2820, 4967, 3154, 5248, 5447, 668]"
37,[1988],178,11,"[0, 1, 15, 4, 18, 14, 13, 6]","[1732, 37, 4091, 1337, 5637]","[1732, 37, 1337]"
38,"[1333, 1925, 380, 1621, 2966, 2598, 2806, 2841, 806, 466, 1271, 1412, 2193, 2080, 1538, 1991, 3017, 1408, 2804, 1434, 1130, 123, 2947, 3217, 3228]",227,504,"[22, 17, 21, 20, 18, 19, 23, 14, 1, 16, 15, 5, 2, 4, 0]","[38, 3737, 5682, 6246, 827, 4576, 5220, 600, 4482, 3054, 6681, 1879, 2192, 4590, 4924, 1923, 6850, 26, 3793, 2598, 5182, 60, 1976, 6289, 1868, 861, 4255, 3483, 3242, 3975, 5159, 290, 6838, 1639, 842, 5574, 4561, 3172, 5266, 3704, 4568, 6003, 4717, 4535, 5197, 5698, 981, 4254, 5817, 5854, 2497, 4530, 1008, 2204, 6606, 2023, 6715, 4085, 4811, 1485, 6178]","[38, 4576, 600, 3054, 4590, 4924, 6850, 3793, 5182, 1976, 5682, 1868, 6246, 4255, 3242, 827, 5159, 5220, 1639, 4561, 3704, 4568, 4717, 4482, 5698, 3737, 6681, 5817, 2497, 4530, 6606, 1879, 6715, 4811]"
39,"[133, 911, 3190, 3155]",5,59,"[1, 18, 5, 22, 20, 16, 19, 17, 21]","[3545, 1654, 3181, 1181, 495, 358, 6133, 1727, 2027]","[3545, 3181, 1181, 6133, 2027]"
40,"[1769, 2232, 1789, 1150, 2452, 693, 2962, 2159, 15, 1301, 1865, 2071, 2371, 1202, 873, 1762, 2933, 465, 2103, 2072, 1741, 1413, 671, 2099, 1087, 117, 1760, 2848, 88, 2998, 704, 696, 922, 227, 1106, 617, 495, 1522, 2125, 670, 1453, 2652, 3202, 1032, 526, 59, 1090, 298, 1058, 2798, 2708, 2726, 2427, 1085, 1793, 2557, 550, 197, 2206]",283,385,"[2, 5, 8, 21, 23, 1, 3, 4, 10, 20, 6, 7, 17, 9, 15, 18, 0, 16, 22, 19]","[1181, 4656, 1623, 4789, 3795, 283, 182, 1003, 3796, 3773, 216, 4288, 4503, 1830, 475, 4099, 4608, 198, 4035, 6720, 4855, 5628, 1607, 5236, 6652, 3325, 4934, 4886, 5197, 701, 2639, 801, 2834, 3857, 3420, 1464, 3542, 6241, 5819, 5225, 3064, 775, 3316, 1645, 397, 2846, 961, 666, 2895, 936, 4643, 3345, 1530, 4091, 2582, 5913, 208, 2067, 3469, 4847, 1644, 2903, 6150, 659, 1725]","[1181, 4656, 1623, 283, 3795, 4789, 216, 4855, 1607, 3325, 1830, 4934, 4886, 5197, 3796, 801, 2834, 3857, 4099, 1464, 3542, 4503, 5819, 3064, 1645, 182, 198, 961, 1003, 4035, 2895, 4643, 6720, 3345, 4091, 2582, 5913, 208, 3469, 4847, 1644, 1725]"
41,[194],162,96,"[20, 17, 0, 21, 19, 16, 18, 22, 23, 4]","[5734, 6449, 41, 6528, 520, 2453, 5058, 6664, 5126, 775, 1273, 2380, 6801, 3295]","[5734, 41, 6449, 6528, 520, 2453, 5058, 5126, 775, 1273, 6801]"
42,"[3120, 2216, 531, 523, 2947, 1005, 992, 2313, 1888, 2777, 897, 2841, 816, 1689, 283, 1610, 1550, 2474, 1211, 2413, 769, 2442, 1848, 2318, 2255, 271, 1924, 1815, 2787, 356, 2488, 1119, 1010, 2991, 2987, 2598, 3028]",110,29,"[21, 22, 23, 0, 1, 14, 15, 16, 17, 19, 20, 2, 3, 4, 5, 18]","[4681, 42, 6218, 860, 3753, 735, 6187, 3242, 2593, 842, 1000, 6626, 1842, 4583, 2051, 3151, 1460, 1562, 6838, 5749, 981, 679, 4050, 1879, 2635, 821, 1219, 4513, 2540, 3276, 2734, 6789, 180, 2477, 3974, 388, 2510, 4732, 3670, 1155, 2374, 4716, 708, 4467, 4548, 4924, 3443, 1111, 4357, 5192, 4156, 3578, 3622, 4275, 4412, 408, 4633, 1506, 4593, 6524, 5890, 2675, 760, 5935, 5816, 6068, 900, 2026, 3887, 5871, 4221, 3045, 6003, 4822, 4246, 2822, 4138]","[4681, 42, 6218, 3753, 1000, 735, 3242, 6838, 860, 5749, 2593, 2540, 2734, 180, 3974, 388, 6626, 4732, 3670, 2051, 1155, 3151, 2374, 6187, 1460, 708, 1562, 4924, 1111, 5192, 3622, 4412, 4633, 981, 1506, 5890, 679, 760, 5816, 900, 2026, 4050, 1879, 3887, 5871, 6003, 4246, 4138]"
43,"[1574, 1544, 2952, 3007, 2183, 2408, 1523]",152,506,"[19, 6, 0, 1, 14, 4, 22]","[4784, 4971, 2080, 560, 2373, 1525, 3394, 1968, 1222, 1376, 1053, 4374, 1163, 6419, 6571]","[2080, 560, 2373, 3394, 4784, 1222, 1053, 1163, 6571]"
44,"[44, 2064, 1675, 187, 897, 3129, 469, 1488, 1188, 140, 927]",164,509,"[17, 20, 21, 3, 18, 0, 19, 23, 2]","[1352, 5319, 1791, 5195, 1155, 4429, 5184, 6206, 2477, 6785, 4784, 33, 1523, 2778, 1661, 4220, 2547, 3156, 1128]","[1791, 5195, 1155, 5319, 1352, 6785, 33, 2778, 1661, 2547, 1128]"
45,"[1865, 1769, 2790, 2099, 435, 355, 2884, 519]",26,385,"[23, 8, 3, 17, 21, 5, 20, 6, 18]","[3379, 6783, 4964, 337, 1242, 5677, 2398, 2855, 1818, 4431, 4052, 4297, 2801, 3687, 6818]","[5677, 2855, 6783, 4431, 337, 2398, 4297, 2801, 6818, 4964]"
46,"[1744, 2257, 557, 363, 1047, 1452, 2282, 2979, 1812, 1815]",35,506,"[22, 0, 21, 23, 6, 20, 19, 14]","[916, 4082, 4693, 2355, 5391, 6685, 1338, 5164, 2373, 1965, 3580, 422, 6257, 2277, 5317, 2181]","[4693, 916, 4082, 1338, 2373, 1965, 2355, 2277, 2181]"
47,"[2850, 1604, 914, 179, 2013]",260,492,"[0, 8, 23, 15, 1, 6, 2, 4, 17]","[5902, 1372, 4955, 5529, 532, 263, 5729, 1584, 6633, 2564, 1712, 4712, 481, 5127]","[5902, 5729, 1584, 6633, 4955, 1712, 5529, 481, 5127]"
48,"[294, 179]",7,499,"[23, 13, 19, 17, 18, 20, 14, 15]","[4389, 48, 6110, 5086, 5501, 2622, 3467]","[4389, 48, 5086, 2622]"
49,"[2752, 2175, 1419, 1258, 2952, 436, 1523]",260,506,"[7, 19, 21, 18, 23, 20]","[883, 1163, 601, 5582, 3093, 5865, 693, 6138, 3239, 3484, 803, 4369, 1825, 2141, 2958, 3189]","[883, 601, 693, 3239, 5582, 4369, 2141, 3189]"
50,"[176, 1784, 936]",104,450,"[5, 6, 0, 14, 13, 16]","[50, 5122, 3154, 6575, 5296, 2639, 6496, 36, 1727, 2830, 4155, 5036]","[50, 5296, 5122, 6496, 3154, 36, 2830, 5036]"
51,"[1226, 2823, 2873, 2805, 2543, 546, 999, 2463, 1170, 1195, 1927, 271, 1924]",260,29,"[21, 4, 3, 5, 17, 20, 2, 0, 22, 23, 16, 6, 19]","[1280, 51, 6157, 354, 4765, 137, 4472, 3995, 3385, 3330, 6057, 3722, 6903, 2100, 6810, 1251, 1527, 4842, 1614, 4006, 679, 6580, 1724, 1298, 842, 2884, 1846, 3729, 6508, 1245, 127, 6698, 6270, 5251, 4744, 4969, 2225, 6431, 6838, 2065, 2837]","[1280, 51, 6157, 354, 4765, 3995, 2100, 3385, 1251, 4842, 4006, 4472, 1298, 3729, 1245, 3330, 6698, 5251, 6057, 4744, 4969, 6838, 2065, 137, 2837]"
52,"[692, 592, 836, 2104, 1004, 143, 3065]",26,56,"[6, 20, 1, 0, 4, 5, 23, 16]","[3808, 3243, 1916, 6469, 745, 784, 1879, 6408, 6555, 3760, 6134, 3165, 5250, 5020, 6746, 1407]","[3808, 6469, 784, 6408, 6555, 3760, 3165, 5020, 1407]"
53,"[1826, 3073, 3057, 2892, 1047, 1929, 1330, 1692, 364, 1547, 513]",289,456,"[19, 7, 1, 18, 20, 21, 23, 22]","[4085, 6205, 4523, 6865, 4480, 1483, 380, 1534, 2178, 6155, 2329, 971, 129, 5249, 4147, 784, 3277, 16]","[4085, 6865, 4480, 1483, 6205, 2178, 6155, 2329, 129, 4147, 784, 16]"
54,"[2188, 2387, 1159, 1991, 2571, 3129, 2924, 83, 373, 2167, 683, 376, 2450, 2829, 1037, 2130, 1239, 2702, 3109, 2828, 2135, 1005, 2049, 970, 1253, 561, 2981, 2038, 1647, 296, 150, 1170, 386, 3181]",58,29,"[6, 5, 7, 8, 9, 1, 4, 2, 3]","[1180, 3772, 6331, 2913, 4843, 5280, 3885, 6535, 6810, 1953, 1856, 2174, 376, 2598, 1905, 1092, 3844, 12, 32, 4398, 735, 4871, 1505, 3155, 3475, 3068, 2817, 4181, 330, 5917, 4667, 3807, 1209, 842, 6226, 2180, 1735, 970, 4427, 5671, 1163, 1257, 759, 2387, 2399, 860, 3625, 6544, 4703, 535, 5425, 6119, 2495, 6206, 374, 5645, 5757, 4299, 2617, 4643, 1890, 6231, 5320, 1175, 6296, 2847, 511]","[1180, 3772, 6810, 1856, 376, 1905, 3844, 32, 735, 1505, 3475, 3068, 2913, 330, 4667, 3807, 842, 2180, 970, 5671, 1257, 2387, 860, 6544, 535, 6119, 374, 4843, 5757, 2617, 5280, 6231, 6296, 511]"
55,"[438, 2419, 1019, 1621, 361, 1130, 3115, 546, 2569]",26,29,"[19, 5, 7, 2, 20, 21, 17, 1, 18]","[4478, 1196, 1401, 1905, 5201, 2566, 1487, 20, 5293, 5824, 2193, 2723, 243, 5695, 6624, 6018, 4339, 3328, 6026, 2221, 647, 2964, 4992, 3963, 237, 994]","[1905, 5201, 4478, 20, 5824, 2723, 5695, 6018, 4339, 6026, 647, 4992, 3963, 994]"
56,"[2123, 430, 2905, 1275, 1929, 1747, 907, 266, 84, 2542]",44,35,"[19, 21, 3, 6, 2, 20, 22, 23, 17, 1]","[2709, 4290, 1580, 5506, 6214, 6758, 3343, 5825, 518, 4086, 3401, 6291, 5268, 4326, 6768, 147, 4824, 2623, 129, 4566, 2261, 2605, 971, 1235, 2348, 3845, 5234, 5434, 5690]","[1580, 6758, 4290, 3343, 518, 3401, 6291, 4326, 2709, 129, 2261, 971, 2348, 5506, 5234, 5690]"
57,"[70, 758, 2175, 982, 2853, 1882, 2592, 1739, 1419, 2435, 457, 1092, 2583, 469, 1284, 2214, 1547, 3183, 2936]",208,112,"[0, 3, 4, 23, 21, 22, 18, 17]","[2226, 4581, 4039, 4443, 3608, 2991, 1418, 1742]","[4581, 2226, 4039, 4443, 3608, 2991, 1742]"
58,"[592, 2718, 2542, 469, 2583, 999, 1994]",231,158,"[4, 0, 22, 3, 5, 21]","[6282, 784, 3892, 4769, 4257, 2786, 5926, 5321, 1672, 2432, 4797, 29, 2647, 5514, 5576]","[6282, 4769, 4257, 5926, 784, 1672, 29, 5514]"
