Uid,Pid,Catname,Region,Time
645,1264,72,38,2012-04-03 15:35
443,1161,63,38,2012-04-03 15:36
594,2662,48,84,2012-04-03 15:36
733,2497,115,38,2012-04-03 15:37
626,1311,54,49,2012-04-03 15:38
564,1823,88,17,2012-04-03 15:40
335,503,75,23,2012-04-03 15:40
464,2204,127,25,2012-04-03 15:45
175,2805,170,38,2012-04-03 15:47
90,652,9,5,2012-04-03 15:48
439,1953,36,68,2012-04-03 15:50
625,1346,155,58,2012-04-03 15:50
805,729,106,74,2012-04-03 15:51
47,1064,29,81,2012-04-03 15:54
644,637,13,81,2012-04-03 15:54
751,2460,72,84,2012-04-03 15:54
157,2355,72,48,2012-04-03 15:57
157,1869,127,48,2012-04-03 15:58
464,2095,156,34,2012-04-03 16:00
553,1670,132,45,2012-04-03 16:01
54,2225,63,34,2012-04-03 16:03
612,1567,170,58,2012-04-03 16:04
641,1784,5,4,2012-04-03 16:04
708,2585,156,54,2012-04-03 16:05
23,24,110,38,2012-04-03 16:05
533,1646,5,81,2012-04-03 16:07
464,2790,153,34,2012-04-03 16:07
363,2074,94,84,2012-04-03 16:08
709,992,51,74,2012-04-03 16:09
443,707,156,17,2012-04-03 16:11
466,565,153,88,2012-04-03 16:11
708,2100,156,48,2012-04-03 16:11
466,1127,35,88,2012-04-03 16:11
644,269,65,81,2012-04-03 16:11
623,2177,5,5,2012-04-03 16:18
443,1431,67,17,2012-04-03 16:23
594,866,26,38,2012-04-03 16:26
327,2568,174,56,2012-04-03 16:27
667,2621,26,38,2012-04-03 16:27
151,495,106,31,2012-04-03 16:29
702,1586,156,5,2012-04-03 16:38
708,1419,5,48,2012-04-03 16:38
191,2482,11,17,2012-04-03 16:40
69,822,11,38,2012-04-03 16:43
400,2009,166,53,2012-04-03 16:45
443,1255,67,49,2012-04-03 16:46
625,1438,5,8,2012-04-03 16:49
667,1590,174,38,2012-04-03 16:50
667,1206,169,38,2012-04-03 16:50
594,1447,107,17,2012-04-03 16:52
151,2261,171,9,2012-04-03 16:54
714,865,115,56,2012-04-03 16:55
151,1471,16,23,2012-04-03 16:55
151,22,35,23,2012-04-03 16:56
766,1924,5,45,2012-04-03 16:57
634,2460,72,84,2012-04-03 16:57
766,1150,5,45,2012-04-03 16:57
402,176,54,84,2012-04-03 16:58
748,1805,5,19,2012-04-03 16:58
554,603,54,38,2012-04-03 17:00
298,715,115,11,2012-04-03 17:00
151,595,165,23,2012-04-03 17:02
443,1005,67,24,2012-04-03 17:03
703,1582,156,84,2012-04-03 17:09
740,559,171,70,2012-04-03 17:12
538,2753,156,17,2012-04-03 17:12
805,1531,156,86,2012-04-03 17:13
538,1662,63,17,2012-04-03 17:14
357,1117,11,38,2012-04-03 17:14
205,636,113,84,2012-04-03 17:15
315,1590,174,38,2012-04-03 17:18
307,2293,135,84,2012-04-03 17:24
107,424,63,17,2012-04-03 17:24
107,1565,11,17,2012-04-03 17:26
327,2057,156,56,2012-04-03 17:27
75,171,156,56,2012-04-03 17:32
703,1708,156,74,2012-04-03 17:32
391,1230,170,86,2012-04-03 17:33
404,2606,172,86,2012-04-03 17:33
702,522,156,17,2012-04-03 17:34
130,1490,5,33,2012-04-03 17:34
98,813,122,84,2012-04-03 17:35
309,2205,156,54,2012-04-03 17:35
702,561,20,38,2012-04-03 17:36
104,1278,122,23,2012-04-03 17:36
666,2747,165,84,2012-04-03 17:38
131,634,5,67,2012-04-03 17:38
383,909,153,86,2012-04-03 17:41
23,1898,135,81,2012-04-03 17:42
620,1157,134,17,2012-04-03 17:42
75,829,153,17,2012-04-03 17:42
75,2531,134,17,2012-04-03 17:43
520,1492,135,9,2012-04-03 17:44
597,530,54,33,2012-04-03 17:46
327,2698,156,48,2012-04-03 17:48
776,327,135,84,2012-04-03 17:50
443,209,5,14,2012-04-03 17:51
117,487,92,5,2012-04-03 17:51
117,2249,115,5,2012-04-03 17:51
503,1604,127,33,2012-04-03 17:52
315,228,5,38,2012-04-03 17:53
503,226,88,77,2012-04-03 17:54
503,1929,115,77,2012-04-03 17:54
309,1389,72,38,2012-04-03 17:55
31,483,27,84,2012-04-03 17:56
31,1355,122,84,2012-04-03 17:56
564,1823,88,17,2012-04-03 17:57
125,624,63,46,2012-04-03 17:58
612,834,122,58,2012-04-03 17:59
167,2561,115,7,2012-04-03 18:00
327,405,127,30,2012-04-03 18:05
669,2312,14,84,2012-04-03 18:07
335,1534,171,65,2012-04-03 18:11
405,1372,170,56,2012-04-03 18:13
597,1120,171,71,2012-04-03 18:13
75,1208,174,17,2012-04-03 18:14
439,2734,151,68,2012-04-03 18:15
607,1875,170,38,2012-04-03 18:16
157,1994,72,48,2012-04-03 18:18
63,2611,110,38,2012-04-03 18:18
63,1923,156,17,2012-04-03 18:18
104,1966,99,23,2012-04-03 18:19
335,1970,5,74,2012-04-03 18:19
119,2778,54,84,2012-04-03 18:20
93,425,85,38,2012-04-03 18:21
119,486,170,84,2012-04-03 18:21
715,814,170,38,2012-04-03 18:23
96,977,73,38,2012-04-03 18:24
603,2460,72,84,2012-04-03 18:25
626,2243,106,77,2012-04-03 18:28
740,1062,127,46,2012-04-03 18:29
191,2662,48,84,2012-04-03 18:29
740,649,19,46,2012-04-03 18:29
86,750,93,84,2012-04-03 18:30
559,2000,63,50,2012-04-03 18:33
488,2769,170,38,2012-04-03 18:36
749,842,5,43,2012-04-03 18:36
227,984,134,28,2012-04-03 18:36
632,428,170,84,2012-04-03 18:36
738,283,5,15,2012-04-03 18:37
589,2777,19,84,2012-04-03 18:38
753,220,170,17,2012-04-03 18:40
199,802,115,38,2012-04-03 18:45
199,1494,115,38,2012-04-03 18:45
131,198,126,23,2012-04-03 18:46
131,2111,105,18,2012-04-03 18:46
131,593,115,18,2012-04-03 18:46
263,1135,72,47,2012-04-03 18:49
740,141,5,46,2012-04-03 18:50
740,2554,5,46,2012-04-03 18:50
309,2696,72,17,2012-04-03 18:51
229,17,153,38,2012-04-03 18:52
597,136,5,6,2012-04-03 18:54
121,1711,152,17,2012-04-03 18:54
199,1185,105,38,2012-04-03 18:54
199,58,115,38,2012-04-03 18:54
555,101,174,38,2012-04-03 18:55
597,1873,72,6,2012-04-03 19:00
90,2138,5,5,2012-04-03 19:02
46,658,72,84,2012-04-03 19:04
694,688,94,84,2012-04-03 19:04
797,2253,156,60,2012-04-03 19:05
660,1105,33,38,2012-04-03 19:06
121,784,152,17,2012-04-03 19:06
740,221,48,46,2012-04-03 19:06
767,537,48,52,2012-04-03 19:07
263,2145,72,68,2012-04-03 19:08
731,517,54,17,2012-04-03 19:10
511,2543,164,38,2012-04-03 19:11
21,2101,174,84,2012-04-03 19:13
729,2340,99,38,2012-04-03 19:15
520,1332,5,66,2012-04-03 19:15
112,2471,5,74,2012-04-03 19:15
112,520,5,74,2012-04-03 19:16
626,1459,122,67,2012-04-03 19:16
522,2701,156,84,2012-04-03 19:17
614,1247,159,38,2012-04-03 19:21
121,239,135,41,2012-04-03 19:22
46,2662,48,84,2012-04-03 19:24
184,775,112,84,2012-04-03 19:27
63,2086,5,5,2012-04-03 19:27
597,2531,134,17,2012-04-03 19:27
411,1122,66,4,2012-04-03 19:27
643,605,46,84,2012-04-03 19:28
107,2485,122,17,2012-04-03 19:28
109,1964,128,48,2012-04-03 19:29
69,2064,172,38,2012-04-03 19:30
75,347,156,17,2012-04-03 19:30
620,1981,5,13,2012-04-03 19:32
522,1590,174,38,2012-04-03 19:33
627,472,127,86,2012-04-03 19:37
776,701,99,84,2012-04-03 19:42
335,2685,35,41,2012-04-03 19:42
61,2140,14,56,2012-04-03 19:44
75,207,172,38,2012-04-03 19:45
335,2396,48,41,2012-04-03 19:46
137,2145,72,68,2012-04-03 19:48
137,2642,72,68,2012-04-03 19:48
749,60,63,50,2012-04-03 19:48
75,1291,156,38,2012-04-03 19:50
229,841,11,38,2012-04-03 19:50
104,1640,125,23,2012-04-03 19:51
75,90,156,38,2012-04-03 19:51
694,688,94,84,2012-04-04 08:56
204,504,156,17,2012-04-03 19:56
305,2650,5,56,2012-04-03 20:03
98,1168,127,84,2012-04-03 20:03
418,2784,110,38,2012-04-03 20:03
89,1641,170,38,2012-04-03 20:04
98,2536,104,84,2012-04-03 20:04
75,1848,156,54,2012-04-03 20:07
422,2454,170,9,2012-04-03 20:09
620,1275,170,25,2012-04-03 20:09
559,1561,106,50,2012-04-03 20:09
151,1339,63,23,2012-04-03 20:11
724,771,5,24,2012-04-03 20:13
611,2019,135,20,2012-04-03 20:13
151,1430,127,18,2012-04-03 20:15
315,17,153,38,2012-04-03 20:18
204,2151,127,54,2012-04-03 20:19
69,631,26,38,2012-04-03 20:19
204,340,122,54,2012-04-03 20:19
204,227,80,54,2012-04-03 20:21
335,2109,5,41,2012-04-03 20:23
770,2743,114,38,2012-04-03 20:24
761,2553,153,84,2012-04-03 20:26
563,154,54,38,2012-04-03 20:29
309,2080,170,6,2012-04-03 20:32
58,658,72,84,2012-04-03 20:33
137,2257,35,17,2012-04-03 20:33
641,1503,153,46,2012-04-03 20:34
713,2106,55,84,2012-04-03 20:34
46,2776,174,84,2012-04-03 20:35
144,2695,5,62,2012-04-03 20:36
247,695,127,70,2012-04-03 20:37
119,240,99,38,2012-04-03 20:38
90,1338,172,60,2012-04-03 20:39
559,1480,171,43,2012-04-03 20:39
623,652,9,5,2012-04-03 20:40
247,1343,7,46,2012-04-03 20:42
140,804,170,84,2012-04-03 20:42
563,2657,156,38,2012-04-03 20:44
218,2353,170,38,2012-04-03 20:44
90,714,171,59,2012-04-03 20:45
307,2293,135,84,2012-04-03 20:46
90,2459,172,59,2012-04-03 20:47
21,1293,106,84,2012-04-03 20:49
98,936,156,84,2012-04-03 20:52
632,2375,122,38,2012-04-03 20:53
692,279,170,17,2012-04-03 20:56
563,1232,156,38,2012-04-03 20:56
503,1248,153,67,2012-04-03 21:00
104,200,39,23,2012-04-03 21:01
593,598,170,38,2012-04-03 21:01
714,2057,156,56,2012-04-03 21:04
694,187,94,84,2012-04-04 10:07
563,2460,72,84,2012-04-03 21:09
464,2204,127,25,2012-04-03 21:10
559,704,122,84,2012-04-03 21:11
329,2634,164,38,2012-04-03 21:12
713,149,65,84,2012-04-03 21:13
21,892,171,41,2012-04-03 21:13
740,549,171,70,2012-04-03 21:17
740,1345,5,70,2012-04-03 21:18
740,894,5,70,2012-04-03 21:18
740,2545,5,70,2012-04-03 21:19
563,750,93,84,2012-04-03 21:20
76,183,157,84,2012-04-03 21:21
405,916,122,56,2012-04-03 21:25
574,76,5,88,2012-04-03 21:26
151,927,127,17,2012-04-03 21:28
731,62,170,84,2012-04-03 21:30
98,2614,156,56,2012-04-03 21:31
318,2244,87,48,2012-04-03 21:32
563,2686,72,86,2012-04-03 21:42
137,670,152,17,2012-04-03 21:44
76,1274,87,38,2012-04-03 21:47
422,1337,5,9,2012-04-03 21:47
563,1456,153,86,2012-04-03 21:48
678,1457,122,9,2012-04-03 21:49
563,454,110,86,2012-04-03 21:51
669,1540,55,84,2012-04-03 21:56
439,259,58,50,2012-04-03 21:58
442,1487,115,38,2012-04-03 22:00
104,1072,122,23,2012-04-03 22:00
404,692,113,86,2012-04-03 22:01
357,1182,122,38,2012-04-03 22:02
694,688,94,84,2012-04-04 11:05
137,2642,72,68,2012-04-03 22:12
561,533,156,84,2012-04-03 22:13
137,2145,72,68,2012-04-03 22:13
21,1758,135,41,2012-04-03 22:14
783,944,5,54,2012-04-03 22:17
299,1873,72,6,2012-04-03 22:18
694,688,94,84,2012-04-04 11:19
783,1470,5,54,2012-04-03 22:20
298,2405,115,11,2012-04-03 22:21
701,1473,87,86,2012-04-03 22:23
299,1579,72,68,2012-04-03 22:24
75,1871,54,72,2012-04-03 22:26
490,2733,113,4,2012-04-03 22:27
299,2145,72,68,2012-04-03 22:31
31,1008,63,84,2012-04-03 22:31
31,2214,27,84,2012-04-03 22:32
31,401,81,38,2012-04-03 22:32
488,594,127,84,2012-04-03 22:44
620,1981,5,13,2012-04-03 22:49
315,228,5,38,2012-04-03 22:51
251,2512,135,86,2012-04-03 22:56
730,397,5,67,2012-04-03 23:03
104,898,114,23,2012-04-03 23:07
730,397,5,67,2012-04-03 23:13
730,1750,5,67,2012-04-03 23:15
694,1351,94,38,2012-04-04 12:17
317,963,99,26,2012-04-03 23:18
606,2348,148,10,2012-04-03 23:20
606,2781,174,10,2012-04-03 23:21
709,1050,14,17,2012-04-03 23:23
589,1354,122,84,2012-04-03 23:28
49,2573,27,84,2012-04-03 23:33
49,569,106,84,2012-04-03 23:36
614,2143,153,56,2012-04-03 23:40
614,2343,115,56,2012-04-03 23:40
69,540,122,38,2012-04-03 23:46
49,2658,106,41,2012-04-03 23:46
49,14,106,41,2012-04-03 23:47
104,1543,174,23,2012-04-03 23:48
129,1592,132,36,2012-04-03 23:50
129,2234,16,36,2012-04-03 23:50
137,2624,5,22,2012-04-03 23:51
490,450,5,4,2012-04-04 00:05
538,1025,156,60,2012-04-04 00:06
357,2765,122,38,2012-04-04 00:08
709,961,5,29,2012-04-04 00:08
312,766,48,72,2012-04-04 00:13
312,2254,137,72,2012-04-04 00:14
312,2311,1,72,2012-04-04 00:15
104,728,171,23,2012-04-04 00:18
439,179,95,68,2012-04-04 00:21
694,688,94,84,2012-04-04 13:21
370,893,135,9,2012-04-04 00:25
312,794,164,64,2012-04-04 00:26
312,387,63,64,2012-04-04 00:27
766,2383,5,45,2012-04-04 00:29
718,1408,127,51,2012-04-04 00:30
738,283,5,15,2012-04-04 00:30
766,1924,5,45,2012-04-04 00:33
766,1150,5,45,2012-04-04 00:33
167,2094,5,5,2012-04-04 00:34
312,46,13,51,2012-04-04 00:34
766,2288,5,45,2012-04-04 00:35
434,2765,122,38,2012-04-04 00:38
61,2057,156,56,2012-04-04 00:40
597,1873,72,6,2012-04-04 00:48
597,136,5,6,2012-04-04 00:50
204,1829,153,48,2012-04-04 00:53
204,2151,127,54,2012-04-04 00:53
84,2575,5,46,2012-04-04 01:03
269,1757,5,19,2012-04-04 01:04
682,1062,127,46,2012-04-04 01:07
204,505,106,54,2012-04-04 01:08
151,1902,171,41,2012-04-04 01:08
151,1999,171,41,2012-04-04 01:10
317,2051,5,60,2012-04-04 01:12
702,1704,156,5,2012-04-04 01:12
770,2525,122,84,2012-04-04 01:44
107,1414,27,17,2012-04-04 01:47
61,1362,156,74,2012-04-04 01:51
61,1575,110,86,2012-04-04 02:06
61,1664,110,86,2012-04-04 02:09
749,842,5,43,2012-04-04 02:12
61,1203,91,86,2012-04-04 02:13
61,653,110,86,2012-04-04 02:19
694,2519,94,84,2012-04-04 02:25
729,2522,94,84,2012-04-04 02:30
151,2729,127,74,2012-04-04 02:36
61,566,33,86,2012-04-04 02:36
151,2018,16,31,2012-04-04 02:36
23,2163,5,54,2012-04-04 02:44
714,795,5,69,2012-04-04 02:55
496,977,73,38,2012-04-04 02:56
151,68,5,31,2012-04-04 03:00
346,1983,122,84,2012-04-04 03:08
242,1159,135,84,2012-04-04 03:09
298,1669,115,65,2012-04-04 03:12
157,1869,127,48,2012-04-04 03:13
157,2355,72,48,2012-04-04 03:13
157,1994,72,48,2012-04-04 03:16
496,2530,122,81,2012-04-04 03:20
538,2016,5,5,2012-04-04 03:21
623,1500,5,5,2012-04-04 03:21
538,96,5,5,2012-04-04 03:21
538,1361,127,5,2012-04-04 03:22
574,76,5,88,2012-04-04 03:25
157,1680,5,48,2012-04-04 03:26
157,1358,5,48,2012-04-04 03:26
490,525,5,4,2012-04-04 03:48
724,1236,132,36,2012-04-04 04:03
559,2474,15,84,2012-04-04 04:14
559,892,171,41,2012-04-04 04:22
375,1210,171,12,2012-04-04 04:28
375,1727,42,12,2012-04-04 04:28
206,1850,72,68,2012-04-04 05:24
650,1095,136,84,2012-04-04 05:42
206,658,72,84,2012-04-04 05:45
47,1064,29,81,2012-04-04 05:54
665,2324,87,17,2012-04-04 06:04
665,2720,174,17,2012-04-04 06:04
75,1871,54,72,2012-04-04 06:14
98,1273,92,84,2012-04-04 06:14
98,2394,92,84,2012-04-04 06:14
98,985,54,84,2012-04-04 06:15
98,2583,92,84,2012-04-04 06:16
448,1670,132,45,2012-04-04 06:16
708,173,156,48,2012-04-04 06:28
748,873,113,19,2012-04-04 06:30
625,946,106,9,2012-04-04 06:31
694,155,132,45,2012-04-04 19:31
715,953,153,81,2012-04-04 06:36
65,1333,170,84,2012-04-04 06:36
715,1065,109,84,2012-04-04 06:36
748,667,85,81,2012-04-04 06:38
496,1242,137,38,2012-04-04 06:39
162,496,129,43,2012-04-04 06:41
320,168,127,86,2012-04-04 06:43
320,1404,174,86,2012-04-04 06:44
626,1178,106,67,2012-04-04 06:48
731,620,170,38,2012-04-04 06:49
748,1384,113,81,2012-04-04 06:51
391,2191,11,38,2012-04-04 06:52
645,177,113,41,2012-04-04 06:53
515,2541,67,38,2012-04-04 06:54
785,2039,153,55,2012-04-04 06:56
496,1051,137,84,2012-04-04 06:57
104,2289,106,23,2012-04-04 06:58
708,1484,27,17,2012-04-04 06:58
555,101,174,38,2012-04-04 07:01
391,601,9,38,2012-04-04 07:03
206,1769,54,19,2012-04-04 07:04
162,2731,12,50,2012-04-04 07:07
748,439,163,81,2012-04-04 07:07
112,2471,5,74,2012-04-04 07:11
112,520,5,74,2012-04-04 07:11
439,956,115,68,2012-04-04 07:15
634,1506,54,84,2012-04-04 07:15
412,1756,11,4,2012-04-04 07:16
746,2250,11,81,2012-04-04 07:17
606,2041,110,10,2012-04-04 07:21
125,619,78,4,2012-04-04 07:24
800,942,156,25,2012-04-04 07:25
63,1586,156,5,2012-04-04 07:26
122,2755,174,84,2012-04-04 07:28
45,655,171,84,2012-04-04 07:32
306,1293,106,84,2012-04-04 07:32
645,1264,72,38,2012-04-04 07:35
556,1393,54,25,2012-04-04 07:37
556,1296,156,25,2012-04-04 07:37
55,463,156,81,2012-04-04 07:37
55,406,28,81,2012-04-04 07:38
767,2603,163,33,2012-04-04 07:41
121,784,152,17,2012-04-04 07:41
751,2600,99,38,2012-04-04 07:43
736,1950,171,80,2012-04-04 07:43
805,861,106,86,2012-04-04 07:43
751,1512,54,38,2012-04-04 07:48
805,1015,106,74,2012-04-04 07:49
785,1703,142,55,2012-04-04 07:50
558,213,54,84,2012-04-04 07:50
121,1711,152,17,2012-04-04 07:50
714,398,72,69,2012-04-04 07:52
805,2021,163,86,2012-04-04 07:53
383,909,153,86,2012-04-04 07:53
783,890,5,54,2012-04-04 07:54
247,695,127,70,2012-04-04 07:54
318,236,139,48,2012-04-04 07:54
627,472,127,86,2012-04-04 07:54
783,777,135,54,2012-04-04 07:55
785,904,156,55,2012-04-04 07:55
306,486,170,84,2012-04-04 07:55
407,622,156,86,2012-04-04 08:00
407,184,5,86,2012-04-04 08:00
407,602,49,86,2012-04-04 08:00
58,878,58,58,2012-04-04 08:00
184,403,11,38,2012-04-04 08:00
295,2771,58,56,2012-04-04 08:04
49,1443,27,41,2012-04-04 08:05
466,608,153,88,2012-04-04 08:05
622,990,170,17,2012-04-04 08:05
466,615,87,88,2012-04-04 08:06
107,44,126,41,2012-04-04 08:07
411,2644,129,4,2012-04-04 08:08
309,832,5,17,2012-04-04 08:08
694,155,132,45,2012-04-04 21:08
501,2677,170,38,2012-04-04 08:10
45,2067,170,38,2012-04-04 08:10
561,533,156,84,2012-04-04 08:10
628,1912,70,86,2012-04-04 08:10
205,658,72,84,2012-04-04 08:11
501,2370,63,38,2012-04-04 08:11
586,1293,106,84,2012-04-04 08:12
122,2462,54,84,2012-04-04 08:13
411,1569,156,4,2012-04-04 08:15
703,1428,5,62,2012-04-04 08:16
597,1120,171,71,2012-04-04 08:16
121,2062,156,38,2012-04-04 08:18
644,637,13,81,2012-04-04 08:18
36,12,115,4,2012-04-04 08:18
36,2317,115,4,2012-04-04 08:19
36,1366,115,4,2012-04-04 08:19
626,1906,110,49,2012-04-04 08:19
121,460,153,38,2012-04-04 08:20
800,601,9,38,2012-04-04 08:21
800,2707,115,38,2012-04-04 08:22
586,455,166,84,2012-04-04 08:22
196,1893,9,23,2012-04-04 08:22
251,1619,13,62,2012-04-04 08:22
644,269,65,81,2012-04-04 08:23
703,2581,156,62,2012-04-04 08:23
718,481,11,38,2012-04-04 08:23
589,511,54,84,2012-04-04 08:23
107,2192,13,6,2012-04-04 08:24
309,2696,72,17,2012-04-04 08:24
109,1964,128,48,2012-04-04 08:25
109,2718,5,48,2012-04-04 08:25
309,2062,156,38,2012-04-04 08:25
429,2798,171,41,2012-04-04 08:25
404,692,113,86,2012-04-04 08:26
612,1138,115,11,2012-04-04 08:27
58,137,72,17,2012-04-04 08:27
612,2552,115,11,2012-04-04 08:27
112,998,134,9,2012-04-04 08:27
478,2183,72,62,2012-04-04 08:28
318,479,135,48,2012-04-04 08:29
501,1161,63,38,2012-04-04 08:29
660,2133,54,38,2012-04-04 08:29
785,1264,72,38,2012-04-04 08:30
561,2460,72,84,2012-04-04 08:30
785,401,81,38,2012-04-04 08:30
205,636,113,84,2012-04-04 08:31
75,347,156,17,2012-04-04 08:31
718,601,9,38,2012-04-04 08:32
692,1264,72,38,2012-04-04 08:33
121,273,54,38,2012-04-04 08:34
556,212,115,74,2012-04-04 08:35
783,243,93,54,2012-04-04 08:35
783,337,156,54,2012-04-04 08:35
439,2734,151,68,2012-04-04 08:35
561,2326,110,84,2012-04-04 08:35
783,2582,156,17,2012-04-04 08:35
93,358,11,84,2012-04-04 08:37
363,427,129,17,2012-04-04 08:37
75,1208,174,17,2012-04-04 08:38
104,1966,99,23,2012-04-04 08:38
54,2299,87,34,2012-04-04 08:40
455,2229,9,25,2012-04-04 08:46
216,92,11,86,2012-04-04 08:46
455,524,54,25,2012-04-04 08:47
363,1823,88,17,2012-04-04 08:48
746,2705,54,81,2012-04-04 08:48
783,385,153,38,2012-04-04 08:49
175,2805,170,38,2012-04-04 08:50
320,1708,156,74,2012-04-04 08:51
785,317,54,84,2012-04-04 08:55
320,1190,11,74,2012-04-04 08:55
669,2411,35,66,2012-04-04 08:55
89,2776,174,84,2012-04-04 08:55
320,363,54,74,2012-04-04 08:55
327,1827,108,30,2012-04-04 08:57
75,1403,14,17,2012-04-04 08:57
533,748,115,84,2012-04-04 08:57
478,2460,72,84,2012-04-04 08:59
714,2712,88,56,2012-04-04 08:59
703,1582,156,84,2012-04-04 09:00
407,1390,106,86,2012-04-04 09:00
191,2670,45,84,2012-04-04 09:00
520,2327,9,9,2012-04-04 09:02
520,2560,13,9,2012-04-04 09:03
563,1155,5,86,2012-04-04 09:03
593,1410,115,38,2012-04-04 09:03
316,2770,54,17,2012-04-04 09:04
129,1592,132,36,2012-04-04 09:04
603,2147,87,84,2012-04-04 09:05
129,2234,16,36,2012-04-04 09:05
49,1997,37,54,2012-04-04 09:05
178,1502,11,38,2012-04-04 09:05
205,1972,54,62,2012-04-04 09:07
86,347,156,17,2012-04-04 09:08
694,155,132,45,2012-04-04 22:08
61,1249,110,86,2012-04-04 09:12
783,1232,156,38,2012-04-04 09:13
402,176,54,84,2012-04-04 09:14
586,1998,115,84,2012-04-04 09:15
515,541,13,38,2012-04-04 09:17
178,101,174,38,2012-04-04 09:17
503,1604,127,33,2012-04-04 09:18
264,1822,54,38,2012-04-04 09:19
216,964,54,84,2012-04-04 09:20
23,2629,63,54,2012-04-04 09:20
731,517,54,17,2012-04-04 09:22
309,2205,156,54,2012-04-04 09:23
309,157,54,54,2012-04-04 09:24
622,63,99,17,2012-04-04 09:24
644,1378,63,81,2012-04-04 09:24
463,2191,11,38,2012-04-04 09:25
597,530,54,33,2012-04-04 09:27
589,2108,109,41,2012-04-04 09:27
218,1498,54,38,2012-04-04 09:29
65,782,11,84,2012-04-04 09:29
326,56,87,17,2012-04-04 09:29
729,2522,94,84,2012-04-04 09:30
644,86,135,81,2012-04-04 09:30
564,1571,156,60,2012-04-04 09:33
329,2456,54,84,2012-04-04 09:34
793,1648,54,17,2012-04-04 09:35
178,433,94,38,2012-04-04 09:40
503,226,88,77,2012-04-04 09:40
178,1796,11,38,2012-04-04 09:41
104,728,171,23,2012-04-04 09:43
375,422,42,12,2012-04-04 09:44
654,1257,5,63,2012-04-04 09:45
682,1062,127,46,2012-04-04 09:45
556,1788,54,86,2012-04-04 09:46
544,2070,54,38,2012-04-04 09:47
603,2460,72,84,2012-04-04 09:47
555,601,9,38,2012-04-04 09:48
683,668,70,38,2012-04-04 09:50
511,1621,54,38,2012-04-04 09:53
544,1068,110,38,2012-04-04 09:53
295,2195,54,56,2012-04-04 09:54
61,2057,156,56,2012-04-04 09:55
375,2396,48,41,2012-04-04 09:56
683,607,54,38,2012-04-04 09:57
400,981,91,23,2012-04-04 09:59
61,2093,24,84,2012-04-04 09:59
120,2191,11,38,2012-04-04 10:00
58,322,54,84,2012-04-04 10:02
75,1215,54,17,2012-04-04 10:03
669,854,88,84,2012-04-04 10:03
665,1407,114,17,2012-04-04 10:03
463,1863,115,38,2012-04-04 10:04
603,2147,87,84,2012-04-04 10:07
733,2497,115,38,2012-04-04 10:08
216,2007,54,84,2012-04-04 10:08
370,2049,135,9,2012-04-04 10:10
563,1456,153,86,2012-04-04 10:10
317,848,2,38,2012-04-04 10:13
563,2424,127,86,2012-04-04 10:14
563,1611,156,86,2012-04-04 10:16
654,2550,72,63,2012-04-04 10:19
496,517,54,17,2012-04-04 10:20
104,43,99,23,2012-04-04 10:22
327,2698,156,48,2012-04-04 10:24
268,1861,54,17,2012-04-04 10:24
703,2570,54,84,2012-04-04 10:25
