Pid,Uid,Catname,Region,Time,neighbors,forward_neighbors
14,[49],106,41,"[23, 13, 8, 0, 16, 5, 7, 1, 14]","[2658, 1895, 2198, 1443, 569, 1317, 1100, 429, 1816, 534, 368, 1997, 1442, 352]","[2658, 1895, 1443, 2198, 368, 1816, 1997, 569, 1442, 1317, 429, 534]"
15,[449],54,84,"[9, 8, 15, 13]","[2508, 15, 1133, 57, 1670, 466, 627, 1502, 2022, 754]","[2508, 15, 466, 1502, 1133, 2022, 57]"
16,"[736, 196, 503, 82, 163, 662, 657, 51]",35,18,"[17, 9, 13, 15, 11, 16, 19, 18]","[937, 2008, 537, 931, 1893, 1218, 1300, 877, 2800, 938, 1313, 2409, 2327]","[2008, 1218, 537, 931, 2800, 1893, 937, 938, 2409]"
17,"[229, 315, 619, 596, 502, 179, 37, 195, 52, 252]",153,38,"[18, 20, 11, 2, 10, 23, 16, 9, 15, 6, 17, 14, 1, 4, 19]","[17, 1482, 1590, 2258, 2752, 11, 841, 1483, 2106, 304, 2219, 228, 571, 2222, 1849, 1316, 207, 1533, 2064, 2776, 2093, 2636, 126, 1885]","[17, 1590, 2258, 2219, 2222, 2752, 11, 841, 207, 1483, 1482, 2106, 304, 228, 2093, 126]"
18,[592],110,38,"[19, 16, 12, 15]","[2284, 18, 2791, 101, 1282, 759, 1093, 208, 460]","[2284, 101, 18, 1282, 208, 460]"
19,"[783, 75, 8, 741]",156,54,"[14, 20, 9, 8]","[2450, 1505, 2756, 1721, 1652, 916, 2768, 967, 64]","[2450, 1505, 2756, 1652, 2768, 64]"
20,[524],134,7,"[5, 23, 20, 4, 6, 7, 16, 14, 0, 19, 17, 21, 9, 11, 15]","[2535, 1720, 738, 252, 2604, 1301, 994, 146, 20, 1993, 820, 1829, 2698, 2110, 2675, 2801, 134, 587, 1872, 2161]","[738, 2535, 1720, 1301, 2110, 20, 2801, 134, 2698, 1872, 820, 2604, 2675, 146]"
21,[722],93,52,"[10, 9, 8, 11, 14, 16, 13, 12]","[1300, 21, 937, 1781, 22, 1339, 2422]","[1300, 21, 937, 22, 2422]"
22,"[151, 730, 335, 46, 423, 722, 767, 512, 324, 154, 196, 616, 400, 112, 639, 476, 540, 597, 58, 621]",35,23,"[16, 9, 10, 14, 13, 11, 18, 12, 15, 19, 17, 20, 23, 21, 8]","[595, 1893, 1471, 2006, 2261, 981, 1339, 244, 937, 495, 2008, 891, 530, 2681, 940, 658, 2471, 520, 2564, 1480, 1534, 339, 2023, 1515, 68, 26, 518, 829, 892, 537, 585, 1970, 503, 1335, 2264, 1391, 474, 1595, 1243, 2296, 1251, 1293, 1444, 348, 2315, 21, 2672, 397, 2603, 2762]","[595, 1339, 1893, 981, 937, 2006, 940, 244, 520, 1480, 518, 892, 537, 503, 2264, 1243, 891, 2296, 2008, 530, 2315, 397, 2762]"
23,[562],79,84,"[17, 10, 11, 14, 16, 9, 13]","[1714, 2217, 658, 316, 2145]","[2217, 658, 1714, 2145, 316]"
24,[23],110,38,"[16, 20, 12, 17, 11, 15, 14, 13]","[815, 2163, 1898, 2629, 2585, 2439, 1639, 24, 1823, 129, 2314, 2696]","[815, 1898, 2629, 2163, 1823, 2439, 2585, 1639, 24]"
25,[278],81,28,"[22, 20, 12, 2, 18, 4, 8, 10, 11, 23]","[2403, 791, 264, 2314, 931, 754]","[791, 2403, 2314, 264]"
26,"[432, 789, 529, 399, 164, 214, 350, 511, 35, 504, 56, 783, 452, 3, 497, 536, 154, 544, 288, 321, 652, 667, 433, 29, 703, 347, 146, 581, 575, 302, 71, 190, 437, 456, 469, 778, 534, 441, 420, 221, 753, 656, 398, 543, 395, 141, 775, 756, 643, 30, 148, 499]",33,84,"[16, 22, 12, 19, 17, 21, 0, 23, 9, 10, 18, 14, 2, 11, 13, 1, 20, 15, 8]","[26, 658, 626, 1367, 64, 1293, 508, 1582, 1318, 1285, 2463, 1099, 2742, 887, 2460, 1621, 2273, 1636, 2070, 1437, 2577, 10, 1305, 1323, 2691, 1207, 1642, 509, 1846, 1165, 1321, 1577, 177, 2684, 2556, 378, 1938, 2427, 455, 22, 2743, 2228, 1794, 2526, 2688, 1684, 2788, 1389, 2618, 2037, 774, 1453, 2735, 1896, 2668, 704, 2330, 1616, 2567, 225, 592, 2522, 2036, 32, 2167, 2439, 1354, 2384, 4, 1256, 2035, 452, 610, 2464, 562, 156, 935, 1754, 2776, 197, 1161, 1815, 1789, 838, 1632, 1401, 112, 577, 2597, 2589, 1151, 1590, 1428, 2116, 2581, 69, 851, 1076, 1051, 459, 1670, 868, 1873, 1848, 385, 605]","[1293, 26, 64, 2273, 2070, 1323, 1207, 1642, 1846, 1165, 1577, 177, 1367, 378, 2427, 22, 2228, 2463, 1794, 2688, 2788, 1389, 2037, 1453, 1896, 658, 2742, 704, 1616, 225, 1099, 592, 1285, 32, 2439, 2384, 1256, 452, 610, 562, 156, 1621, 1636, 1754, 197, 1815, 838, 1632, 1437, 2577, 1318, 577, 2589, 1590, 2581, 851, 1051, 10, 508, 1305, 868, 1848, 605]"
27,"[745, 51, 52, 41, 426]",122,17,"[3, 2, 1]","[892, 400, 1922, 1046, 1045, 2365, 628, 2182, 1293, 2765]","[892, 1046, 2365, 400, 2182, 1293, 1922]"
28,"[75, 339]",156,49,"[11, 13, 10, 1, 17, 14, 18, 5, 12]","[1467, 193, 171, 1137, 673, 1148, 563, 2253, 28, 850, 1586, 823, 625, 2787, 1207]","[171, 1137, 563, 2253, 1148, 673, 850, 193, 1586, 28, 1207]"
29,"[292, 783]",127,29,"[23, 9, 8, 7, 22, 21, 18, 14, 17]","[1183, 110, 2296, 937, 29, 518, 2513, 890]","[1183, 110, 2296, 518, 937, 29, 890]"
30,"[186, 252]",159,74,"[15, 14, 23, 17, 19, 18, 21, 16]","[2407, 1830, 1207, 1456, 467, 734, 1362, 65, 250, 2013, 560, 1801, 1828, 892, 1864, 869, 48, 1622]","[2407, 65, 2013, 1207, 560, 467, 1864, 1362, 1622]"
31,[206],106,46,"[6, 8, 7]","[1769, 658, 2145, 1850]","[1769, 2145]"
32,"[85, 363, 665, 619, 325, 86, 602, 21, 153, 61, 315, 89, 161, 237, 282, 70, 102, 441, 42, 211, 527, 156, 265, 306]",7,17,"[17, 16, 20, 21, 13, 15, 8, 22, 11, 19, 14, 18]","[2064, 930, 1533, 2208, 2430, 1582, 1316, 1362, 567, 2662, 2587, 2673, 2333, 1823, 199, 936, 2486, 2035, 748, 1977, 1517, 1030, 823, 864, 886, 2258, 960, 2638, 1873, 1001, 228, 127, 361, 315, 1776, 2074, 26, 658, 251, 491, 972, 2449, 2628, 1857]","[2064, 930, 1533, 567, 2587, 2208, 2333, 936, 2035, 1517, 2430, 864, 960, 2638, 1001, 127, 315, 2074, 491, 2449, 1857]"
33,[30],5,51,"[21, 0, 22, 23, 20, 19, 6]","[509, 33, 1846, 2045, 508, 498, 2643]","[509, 33, 1846]"
34,[151],63,31,"[22, 14, 17, 18, 13, 10, 11]","[68, 545, 396, 2264, 1897, 339, 2635, 2018, 1902, 2647, 438]","[68, 339, 2635, 2018, 1897, 2647, 2264, 396]"
35,"[100, 188]",170,84,"[21, 13, 23, 20, 18, 10, 9, 12, 19]","[1755, 1333, 658, 2043, 1590, 2050, 1293, 1588, 160, 2662, 2765, 1455, 1973]","[1755, 658, 1590, 1588, 1333, 160, 2043, 1973]"
36,[222],87,72,"[10, 14, 16, 12, 15, 17]","[182, 36]","[182, 36]"
37,[653],54,17,"[9, 14, 11, 12]","[37, 2124, 1028, 2113]","[37, 2124, 1028, 2113]"
38,[811],171,4,"[4, 6, 0, 1, 5, 12, 2, 14, 19, 18, 7]","[395, 1365, 2458, 1347, 38]","[2458, 395, 1347, 1365, 38]"
39,"[587, 783, 339, 563, 305, 369, 624, 361, 21, 528, 805, 702, 75, 426, 231, 150, 352, 484, 350]",156,38,"[20, 12, 21, 11, 15, 19, 9, 14, 8, 13, 16, 23, 17, 18, 5, 4, 22, 10, 6, 7]","[1264, 756, 2398, 658, 2011, 1232, 1389, 1675, 846, 1207, 2579, 2452, 432, 1293, 380, 1582, 2362, 2569, 673, 2787, 1052, 2482, 1617, 1375, 1025, 2506, 2543, 1621, 965, 2339, 2303, 547, 1559, 1873, 196, 2445, 1236, 725, 701, 2275, 899, 2145, 1611, 2045, 50, 1655, 2645, 2662, 403, 2723, 1326, 2678, 1586, 2021, 2450]","[2398, 1264, 1675, 756, 2579, 380, 1582, 1232, 2569, 2787, 2482, 1375, 1025, 1207, 1621, 658, 2303, 1873, 1389, 1236, 701, 899, 2145, 2452, 2045, 2662, 2723, 2011, 2678, 1586, 432, 2450]"
40,[725],105,59,"[7, 8, 9]","[1149, 420, 40, 1005]","[1149, 420, 1005, 40]"
41,[279],127,38,"[5, 21, 12, 23, 11, 15, 17, 13, 10, 19, 2]","[548, 783, 2708, 41, 546, 1670, 127, 2035, 1293, 381]","[548, 783, 1670, 41, 546, 1293]"
42,[483],5,41,"[22, 8, 7, 9, 11, 14, 5, 0, 19, 2]","[1383, 42, 2396, 2137, 1811, 670]","[1383, 42, 2396, 2137]"
43,[104],99,23,"[10, 9, 13, 18, 15, 12, 14, 16]","[1640, 200, 898, 728, 1543, 1278, 276, 2619, 367, 2783, 2648]","[1640, 200, 1543, 2619, 1278, 276, 898, 2783, 2648]"
44,"[107, 647]",126,41,"[8, 16, 7]","[2192, 2223, 2485, 1414, 1565, 165, 1050, 188]","[2192, 2223, 2485, 1565, 188]"
45,[51],5,74,"[15, 1, 5, 18, 22, 12, 13, 21, 14, 19]","[1218, 1046, 45, 892, 1887, 1462, 864, 1728, 781, 137]","[1046, 1218, 45, 864, 892, 781, 1887, 137]"
46,"[312, 223]",13,51,"[0, 9, 16, 7, 15, 23, 10, 14, 8, 13, 18, 19, 20]","[1666, 896, 1963, 46, 1199, 2751, 1783, 387, 230, 2580, 2139, 2056, 513, 1186, 794, 2311, 2548]","[896, 1963, 46, 2751, 230, 1199, 1783, 2139, 2580, 1666, 2056, 1186]"
47,"[606, 466]",127,10,"[14, 19, 18, 22, 16, 20, 23, 21, 15, 1, 17, 0]","[2348, 1056, 2509, 1320, 2041, 2781, 47, 161, 1127, 615, 2180, 1699, 1520, 93, 1456, 1479, 2692, 1728]","[2348, 2781, 161, 47, 2509, 2180, 1456, 1127, 2041, 1320, 1056]"
48,"[54, 252, 459]",31,34,"[20, 16, 11, 10, 19, 13, 12, 9, 14, 15, 17]","[2299, 1761, 2180, 48, 2225, 1368, 30, 1622, 207]","[2299, 1761, 2225, 48, 1368, 2180, 30, 207]"
49,"[611, 217, 741, 398]",156,17,"[10, 17, 16, 14, 8, 7, 11, 18, 9, 12]","[1904, 1239, 49, 1959, 1843, 278, 2310, 725, 2642, 2662, 1293, 670, 2572, 1957, 2019, 2516, 2356, 51]","[1239, 49, 1843, 1904, 1959, 278, 2310, 2662, 725, 2019, 2642, 2356]"
50,"[805, 563, 21, 489, 305, 617]",156,38,"[19, 11, 15, 0, 18, 20, 9]","[154, 756, 101, 2210, 2650, 2068, 2726, 1928, 2460, 1722, 2776, 759, 39, 616, 167, 1606, 1291, 1087, 612]","[2210, 2068, 756, 1928, 154, 1722, 2776, 39, 167, 1291, 612]"
51,[741],5,70,"[10, 0, 18, 13, 15, 6, 23, 8, 16, 7, 9, 19, 5, 22, 20, 14, 17, 1, 12, 21]","[51, 2132, 1691, 2356, 683, 286, 2516, 2450, 378, 658, 2202, 1553, 2400, 2645, 1721, 1864, 1574, 1042, 49, 1615, 2488, 1710, 2679, 2182]","[51, 2132, 1691, 683, 2356, 2516, 378, 2450, 2400, 1721, 1042, 658, 49, 2202, 286, 1710, 2645, 1864, 2182, 1574]"
52,"[584, 798, 431, 603]",72,39,"[18, 14, 8, 1, 9]","[2460, 827, 1794, 2147, 658, 974, 1379, 2686, 888, 1164]","[2460, 1794, 1379, 2147, 827]"
53,"[312, 283, 40, 399, 237, 156, 155, 608, 298, 537, 323, 540]",24,84,"[21, 13, 2, 18, 3, 20, 23, 22, 17]","[1960, 1172, 626, 491, 2106, 2780, 101, 1702, 886, 691, 1497, 2148, 752, 1683, 2274, 1080, 1944, 518, 704, 2312, 2662, 256, 2008, 1251, 2715, 2754, 271, 1170]","[1960, 2106, 1172, 101, 886, 1497, 752, 2274, 1944, 518, 2312, 256, 1251, 2754, 1170]"
54,"[582, 9, 201, 213, 454, 466, 52]",123,38,"[15, 16, 18, 17]","[433, 1093, 584, 2045, 2252, 628, 207, 2258, 2113, 1744, 626, 1614, 833, 304, 93, 1698, 491, 1497]","[433, 1093, 628, 584, 2258, 1744, 2045, 1614, 304, 1698, 1497]"
55,[76],54,84,"[11, 13, 10, 8, 17, 9, 14, 15, 16, 19]","[1274, 55, 183, 806, 1588, 2460, 2119]","[1274, 183, 55, 806, 1588, 2460, 2119]"
56,[326],87,17,"[9, 10, 17, 14, 11]","[56, 501, 378, 2230]","[56, 501, 378, 2230]"
57,"[506, 571, 340, 561, 224, 541, 247, 103, 449]",63,84,"[20, 15, 13, 21, 19, 16, 18, 17, 8]","[2460, 1029, 15, 1650, 1271, 1838, 1594, 1588, 2098, 695, 309, 1409, 779, 2640, 1855, 2064, 822, 2326, 292, 2101, 917, 2219, 1983, 2755, 626]","[2460, 1029, 1271, 695, 1409, 15, 2640, 1650, 2064, 292, 917, 1983, 626]"
58,"[199, 120]",115,38,"[18, 10, 12, 8, 11, 14, 9, 15, 19, 22]","[1185, 1707, 403, 986, 802, 1324, 275, 135, 493, 799, 58, 2236, 2594, 1083, 452, 1617, 2191, 300, 425, 1493, 91, 1693, 1173, 1494, 658, 1448]","[986, 1185, 403, 1324, 275, 135, 799, 2594, 1083, 452, 1617, 2191, 425, 1493, 1693, 1707, 802, 58, 1494, 1448]"
59,"[233, 35, 209]",58,56,"[10, 11, 9, 18, 8, 12]","[2306, 1792, 1654, 2576, 1937, 1782, 103, 1634, 2673, 1763]","[2306, 1654, 2576, 1782, 1937, 1634, 2673]"
60,"[749, 612, 308, 706, 429, 668, 219, 477, 82]",63,50,"[19, 14, 10, 15, 9, 13, 11, 12]","[1521, 1737, 1138, 647, 1388, 842, 658, 689, 251, 2396, 1943, 1862, 1293, 1765, 2690, 834, 2552, 1567, 1329, 1007, 2144, 195]","[1521, 1737, 1138, 689, 2396, 1862, 1765, 2552, 1567, 1329, 2144, 842]"
61,[75],156,56,"[10, 9, 8]","[1216, 193, 1467]","[193, 1467]"
62,"[731, 96, 488, 42, 684]",170,84,"[21, 20, 6, 18, 7, 11, 14, 13, 22, 17, 10]","[1356, 62, 620, 2681, 2759, 2656, 2067, 1590, 2101, 1104, 2460, 1597, 594, 517, 304]","[1356, 62, 620, 2067, 1590, 2759, 1104, 1597, 594, 2681, 304]"
63,[622],99,17,"[15, 9, 13, 8, 16, 10]","[990, 1289, 63, 291, 1066, 1962, 2490, 1855]","[990, 1289, 63, 291, 1066, 1962, 2490, 1855]"
64,"[783, 696, 666, 597, 652, 709, 536, 251, 71, 474, 325, 575]",91,84,"[22, 15, 18, 21, 0, 20, 23, 19, 16]","[2270, 26, 626, 315, 64, 207, 862, 868, 1582, 1619, 577, 1504, 755, 1532, 1670, 1437, 530, 1904, 1838, 148, 2171, 399, 1936, 1941, 2564, 1326, 961, 137, 1848, 19, 2273, 2513, 850, 2582, 1293, 1590, 385]","[626, 207, 862, 868, 1582, 577, 315, 755, 1437, 1904, 26, 2171, 1936, 2564, 64, 137, 1848, 850, 385]"
65,[186],153,83,"[12, 13, 20, 2, 0, 4, 21, 1, 14, 16, 8, 3, 9, 15]","[2058, 250, 1864, 1801, 572, 700, 734, 30, 551, 1956, 1207, 1735, 696, 2407, 2013, 2277]","[2058, 250, 1801, 572, 1864, 1956, 1207, 1735, 700]"
66,[446],115,86,"[9, 10, 8]","[2496, 66, 2678]","[2496, 66, 2678]"
67,"[503, 130, 604, 34]",127,67,"[12, 16, 3, 9, 17, 20, 1, 15, 19, 18, 7, 13, 8, 21, 0, 2, 11, 14, 22, 4, 10, 23]","[1490, 1844, 67, 588, 121, 1624, 2381, 797, 1647, 1248, 430, 2438, 378, 937, 2261, 1659, 310, 1576]","[1490, 1844, 67, 1624, 588, 121, 797, 2438, 2381, 1248, 1576]"
68,[151],5,31,"[14, 3, 1, 6, 5, 13, 9, 16, 2, 20, 0, 19, 15, 21, 4, 23]","[2264, 396, 339, 545, 2647, 438, 2018, 34, 247, 2729, 1897, 2023, 2635, 68, 1088, 1194, 2472, 1515, 495, 2672, 2692, 781, 2685, 1317, 1534, 902, 937, 1902, 1811, 22, 595]","[2264, 339, 247, 2647, 438, 2635, 495, 396, 34, 2018, 68, 1897, 2472, 2023, 1515, 2692, 2685, 1534, 545, 1902, 2672, 22]"
69,[753],54,17,"[18, 16, 9, 17, 14, 10, 11, 12]","[851, 69, 220, 1207, 413, 2556, 26]","[851, 69, 220, 413, 2556, 26]"
70,[550],54,17,"[9, 13, 8, 7, 15, 14, 11]","[1596, 70, 258, 1053, 2124, 811, 2593, 444, 1411, 378, 1639, 1653, 2026, 1951, 2182]","[70, 1596, 258, 1053, 444, 378, 1639, 1653, 2124, 2026, 1951, 811, 2182, 2593]"
71,"[644, 281, 578]",33,84,"[9, 12, 13, 15, 16, 22, 18, 6, 14, 17, 20]","[502, 71, 2701, 637, 639, 269, 86, 920, 2745, 1303, 378, 2300, 752, 1645, 2777, 1378]","[502, 71, 637, 1303, 920, 269, 2777, 1378]"
72,"[756, 652, 380, 452, 522, 778, 510]",63,84,"[19, 9, 15, 10, 8, 18, 13, 11, 17, 7, 23, 16, 21, 20]","[148, 2171, 72, 1797, 2027, 625, 1763, 2738, 2577, 2723, 2066, 2491, 2564, 1296, 553, 2401, 1169, 2805, 332, 360, 1655, 2614, 626, 2101, 742, 2618, 951, 519, 1076, 1544, 582, 1158]","[148, 72, 2171, 1797, 2577, 2723, 2066, 625, 1763, 2491, 2564, 1296, 2401, 2805, 360, 1655, 2738, 2614, 626, 742, 2618, 2027, 951, 519, 1158]"
73,"[810, 572]",5,20,"[0, 16, 23, 17, 21, 22, 10, 13, 19, 5, 18, 2, 1]","[73, 1696, 681, 402, 1600, 858, 1843, 1656, 1043, 888, 2318, 2672, 2257, 1236]","[73, 1696, 681, 402, 1600, 1043, 2318, 1236]"
74,"[591, 743, 727, 491, 84, 431, 160, 244, 801]",35,16,"[18, 15, 16, 14, 19, 20]","[2204, 809, 928, 2654, 1415, 1296, 1590, 390, 2662, 713, 2768, 1975, 675, 638, 2506, 2136, 626, 1562]","[2204, 809, 1415, 390, 713, 1975, 928, 638, 2136, 1562]"
75,"[351, 401]",150,38,"[16, 19, 12, 1, 22, 14, 18, 11, 20, 15, 13]","[75, 722, 829, 2594, 610, 2101, 1213, 626, 548, 401, 1085, 1037, 1613]","[75, 2594, 610, 1213, 548, 401, 2101, 1085, 829, 1613]"
76,[574],5,88,"[21, 3, 15, 16, 2, 19, 10, 18, 17, 11, 8, 9, 13, 14, 7]","[76, 570, 2466, 576, 133, 2095, 2460, 1795, 626]","[76, 576, 570, 2095, 133, 2466, 1795, 626]"
77,"[189, 318, 339]",156,25,"[18, 13, 9, 17, 12, 10, 14, 16, 11, 7, 6, 5, 4, 8, 15, 21, 3]","[2350, 292, 1478, 77, 942, 2460, 1325, 2266, 1907, 151, 814, 531, 770, 2692, 892, 888, 1971, 1468, 294, 1127, 1774, 1104, 2525, 1904, 101, 170, 2790, 823]","[292, 1478, 942, 77, 2350, 814, 1971, 1774, 770, 1104, 2266, 151, 2460, 1325, 1904, 101, 2790, 823]"
78,[235],135,22,"[16, 21, 4, 19, 11, 9, 22, 20, 10, 12, 23, 0, 5, 2]","[78, 1330, 2672]","[78, 1330, 2672]"
79,[174],127,74,"[15, 13, 7, 9, 18, 23, 20, 21, 16, 6, 17, 14, 8]","[1539, 913, 79, 364, 1643, 2472, 1781, 1887, 599, 1728]","[1539, 364, 79, 913, 1643, 1781, 1887, 2472]"
80,"[309, 50, 597]",122,6,"[17, 22, 23, 20, 21, 13, 1, 0, 16]","[832, 2080, 137, 2336, 2038, 2222, 1389, 2230, 950, 136]","[832, 2038, 2230, 2222, 1389, 136]"
81,"[246, 140]",123,17,"[13, 19, 12, 10, 17, 15, 11]","[2262, 762, 335, 1976, 2052, 1637, 101, 2413, 2692, 2439, 1425, 393]","[762, 2262, 101, 2413, 1976, 2439, 2052, 393]"
82,[319],137,38,"[16, 9, 11, 15, 3, 8, 12]","[1371, 82, 2258, 823, 169, 208, 2747]","[1371, 82, 169, 823, 2747]"
83,"[471, 515, 611, 232, 715, 31, 529, 141, 101, 175, 742, 320, 361, 63, 305, 591, 29, 287, 420, 188, 110, 704, 739]",166,38,"[15, 18, 16, 13, 14, 11, 17, 19, 20, 10, 12]","[1161, 1590, 2460, 1838, 2352, 1860, 2805, 1616, 816, 2107, 1071, 1900, 547, 2579, 1824, 2043, 2082, 657, 1195, 773, 1190, 168, 1697, 1754, 2184, 2232, 711, 541, 2541, 316, 2452, 1029, 2674, 1426, 818, 1656, 2310, 1796, 2101, 127, 1875, 962]","[1161, 2352, 1616, 2460, 2107, 1071, 1824, 2805, 2082, 1195, 1590, 773, 168, 1754, 711, 2541, 2452, 2674, 1838, 2310, 2101, 127, 1875]"
84,"[75, 1, 365, 676, 708]",72,55,"[11, 19, 16, 17, 7, 21, 12, 20, 18]","[476, 2265, 673, 409, 823, 724, 205, 2460, 2698, 1401]","[2265, 476, 673, 823, 724, 205, 2698]"
85,[416],5,61,"[14, 21, 16, 15, 17, 20, 19, 18, 5, 13, 12]","[85, 1511, 776]","[85, 1511, 776]"
86,"[644, 322]",135,81,"[9, 18, 22, 2, 23, 16, 21, 5, 19, 17, 0, 7, 20, 4, 8, 12, 3, 11, 10, 1, 14, 13]","[269, 416, 1378, 637, 86, 920, 2300, 2701, 639, 71, 502, 626, 1645, 1401, 886, 953, 917, 1468, 2577]","[416, 269, 637, 86, 1378, 920, 2300, 71, 639, 886, 2701, 953, 626, 917, 1468]"
87,"[802, 799, 336]",119,38,"[17, 22, 16, 23, 18, 21, 19, 12, 15, 20]","[87, 2099, 841, 830, 658, 1158, 2402, 1250, 2045, 2126, 281, 1180, 1424, 1662]","[87, 2099, 841, 1158, 1250, 2045, 281, 1424, 830]"
88,[812],5,62,"[3, 19, 22, 1, 7, 16, 4, 6, 21, 10]","[2346, 88, 2645, 547, 2618, 2460, 658, 1083, 685]","[2346, 88, 2645, 2460, 658, 547, 685]"
89,"[706, 760]",11,17,"[9, 15, 10, 13]","[1156, 89, 1849, 1737, 195, 372, 158, 2233, 725, 2731, 441]","[1156, 89, 195, 1737, 372, 2233, 1849, 725]"
90,"[75, 365, 617]",156,38,"[19, 17, 23, 14, 20, 15, 9, 18, 7, 8, 6, 5, 22, 1, 21]","[1291, 850, 1871, 947, 2725, 385, 90, 1848, 2504, 1101, 207, 1923]","[1291, 1871, 850, 385, 1848, 2504, 90, 2725, 947]"
91,"[120, 681]",110,38,"[14, 13, 18, 9]","[403, 2594, 493, 2600, 1173, 1324, 799, 2398, 58, 2631, 437]","[2594, 1173, 1324, 403, 493, 58, 437]"
92,"[216, 556]",11,86,"[8, 10, 9, 19, 15, 12, 13, 7]","[964, 2007, 2776, 1126, 977, 2326, 92, 556, 304, 2460, 1506, 1182, 2539, 1985, 2178, 1369, 1788]","[964, 2007, 1126, 2326, 304, 92, 2776, 1506, 1182, 2539, 977, 2178, 556, 1788]"
93,"[169, 466, 204]",72,25,"[8, 12, 7, 9, 21, 10, 17, 19, 18, 22, 15, 20, 16, 14]","[1955, 93, 2095, 942, 1520, 382, 2460, 2452, 1699, 2314, 170, 504, 632, 2564, 1582, 1570, 840, 161, 1681, 270, 98, 933, 1698, 54, 808, 47]","[1955, 93, 1520, 2460, 942, 632, 1582, 1570, 2452, 1699, 2314, 170, 382, 1681, 98, 2095, 54, 47]"
94,"[1, 48, 311, 327]",72,48,"[7, 16, 8, 18, 11]","[1545, 1207, 2277, 2171, 1422, 1109, 2388, 1869, 1777, 1134, 2015]","[1207, 2277, 1109, 1869, 2015]"
95,[179],13,82,"[9, 13, 8, 17, 7, 4, 15]","[2752, 1174, 210, 95]","[2752, 1174, 95]"
96,[538],5,5,"[3, 10, 13, 19, 2, 5, 22, 6, 0]","[1361, 2016, 1620, 1980, 1132, 2230, 2753, 517]","[1361, 1620, 1980, 1132, 2230, 2016, 2753]"
